Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,6383,4965,83,1332,3,77.78,8689,4288,88,4309,4,49.35
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,9097,6020,416,2656,5,66.18,12131,4632,535,6955,9,38.18
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,8828,5156,592,3077,3,58.41,9621,3484,593,5542,2,36.21
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,9370,6793,363,2204,10,72.5,11012,4441,410,6146,15,40.33
Achham,Mangalsen Municipality,524 7 69 3 002,70706,12605,9336,310,2948,11,74.07,15436,6802,426,8202,6,44.07
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,9721,6765,392,2560,4,69.59,11381,5362,535,5470,14,47.11
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,10802,7164,472,3155,11,66.32,12629,4781,520,7316,12,37.86
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,10158,7047,386,2665,60,69.37,11218,4874,403,5827,114,43.45
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,13345,10814,462,2061,8,81.03,16199,8352,656,7179,12,51.56
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,10016,6558,390,3065,3,65.48,11166,4202,447,6512,5,37.63
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,12079,9875,179,2022,3,81.75,17017,11127,265,5609,16,65.39
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,9100,7422,200,1478,0,81.56,13865,8959,295,4610,1,64.62
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,10167,8251,142,1772,2,81.15,14726,9562,227,4933,4,64.93
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,9749,7862,344,1540,3,80.64,13901,9135,414,4342,10,65.71
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,16204,13735,351,2110,8,84.76,21070,14715,415,5925,15,69.84
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,17218,13654,441,3104,19,79.3,21008,13334,573,7046,55,63.47
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,11631,9062,221,2346,2,77.91,15487,10078,270,5136,3,65.07
Baglung,Baglung Municipality,524 4 43 3 003,41101,22808,20175,379,2246,8,88.46,29885,21602,530,7729,24,72.28
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,5452,4384,91,977,0,80.41,7619,5028,151,2435,5,65.99
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,10102,7270,294,2530,8,71.97,12806,7171,380,5238,17,56
Baglung,Galkot Municipality,524 4 43 3 002,41108,12682,10274,365,2035,8,81.01,17322,11683,507,5117,15,67.45
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,12231,10117,290,1823,1,82.72,16987,11321,377,5277,12,66.65
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,9827,8080,340,1402,5,82.22,13865,9197,420,4237,11,66.33
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,8821,6150,309,2360,2,69.72,11578,6150,436,4989,3,53.12
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,4026,2924,128,968,6,72.63,5332,3020,165,2130,17,56.64
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,4661,3684,194,780,3,79.04,6020,4014,316,1683,7,66.68
Baitadi,Dasharathchand Municipality,524 7 74 3 001,70405,13694,11998,347,1342,7,87.62,17025,10169,450,6391,15,59.73
Baitadi,Dilasaini Gaunpalika,524 7 74 4 001,70401,9470,7391,200,1871,8,78.05,10534,5342,256,4915,21,50.71
Baitadi,Dogada Kedar Gaunpalika,524 7 74 4 002,70402,9588,7515,279,1790,4,78.38,11816,5990,275,5547,4,50.69
Baitadi,Melauli Municipality,524 7 74 3 003,70408,9072,7354,220,1494,4,81.06,10813,5369,272,5170,2,49.65
Baitadi,Pancheshwor Gaunpalika,524 7 74 4 004,70406,7261,5508,193,1552,8,75.86,9037,3895,248,4873,21,43.1
Baitadi,Patam Municipality,524 7 74 3 004,70409,12085,10587,315,1182,1,87.6,14648,8624,488,5533,3,58.87
Baitadi,Puchaundi Municipality,524 7 74 3 002,70403,16266,11556,424,4282,4,71.04,17529,7121,464,9937,7,40.62
Baitadi,Shivanath Gaunpalika,524 7 74 4 005,70407,6868,4988,160,1719,1,72.63,7843,3041,185,4612,5,38.77
Baitadi,Sigas Gaunpalika,524 7 74 4 006,70410,8857,6466,228,2161,2,73,9707,4141,222,5342,2,42.66
Baitadi,Surnaya Gaunpalika,524 7 74 4 003,70404,7243,5842,172,1215,14,80.66,8891,4302,288,4281,20,48.39
Bajhang,Bitthadchir Gaunpalika,524 7 67 4 004,70210,6750,4847,294,1601,8,71.81,7732,3046,314,4367,5,39.39
Bajhang,Bungal Municipality,524 7 67 3 001,70202,13746,9355,452,3934,5,68.06,14626,5295,400,8920,11,36.2
Bajhang,Chhabis Pathibhara Gaunpalika,524 7 67 4 007,70207,6603,4810,268,1524,1,72.85,7624,3077,355,4185,7,40.36
Bajhang,Durgathali Gaunpalika,524 7 67 4 006,70208,5008,3695,163,1147,3,73.78,6233,2526,160,3540,7,40.53
Bajhang,Jayaprithbi Municipality,524 7 67 3 002,70206,9320,7398,268,1654,0,79.38,10246,4926,291,5024,5,48.08
Bajhang,Kanda Gaunpalika,524 7 67 4 001,70201,956,563,16,377,0,58.89,920,209,14,697,0,22.72
Bajhang,Kedarsyun Gaunpalika,524 7 67 4 005,70209,8428,5898,334,2193,3,69.98,9763,3619,373,5771,0,37.07
Bajhang,Khaptad Chhanna Gaunpalika,524 7 67 4 010,70212,6118,4906,137,1072,3,80.19,7774,3339,210,4221,4,42.95
Bajhang,Masta Gaunpalika,524 7 67 4 008,70205,6062,4309,115,1637,1,71.08,6797,2703,110,3978,6,39.77
Bajhang,Surma Gaunpalika,524 7 67 4 002,70203,3801,2393,101,1307,0,62.96,3748,804,102,2841,1,21.45
Bajhang,Talkot Gaunpalika,524 7 67 4 003,70204,4684,3632,92,954,6,77.54,5163,2373,175,2614,1,45.96
Bajhang,Thalara Gaunpalika,524 7 67 4 009,70211,6950,5316,255,1373,6,76.49,8488,3827,394,4250,17,45.09
Bajura,Badimalika Municipality,524 7 68 3 002,70106,7592,5603,209,1777,3,73.8,7144,3398,235,3508,3,47.56
Bajura,Budhiganga Municipality,524 7 68 3 003,11213,8385,6401,138,1845,1,76.34,10259,4781,193,5280,5,46.6
Bajura,Budhinanda Municipality,524 7 68 3 001,70103,8014,5225,195,2587,7,65.2,8180,3584,205,4383,8,43.81
Bajura,Chhededaha Gaunpalika,524 7 68 4 003,70107,7347,4731,142,2472,2,64.39,8432,3000,158,5274,0,35.58
Bajura,Gaumul Gaunpalika,524 7 68 4 002,70102,3608,2374,139,1094,1,65.8,3749,1684,144,1921,0,44.92
Bajura,Himali Gaunpalika,524 7 68 4 001,70101,3942,2562,111,1269,0,64.99,3974,1540,144,2288,2,38.75
Bajura,Pandab Gufa Gaunpalika,524 7 68 4 004,70105,3977,2551,91,1334,1,64.14,4074,1759,110,2205,0,43.18
Bajura,Swami Kartik Gaunpalika,524 7 68 4 005,70104,5286,3402,131,1753,0,64.36,5638,2218,163,3257,0,39.34
Bajura,Tribeni Municipality,524 7 68 3 004,50206,7287,5103,132,2050,2,70.03,8341,3929,207,4203,2,47.1
Banke,Baijanath Gaunpalika,524 5 57 4 002,51103,22576,17877,534,4159,6,79.19,26404,16782,719,8887,16,63.56
Banke,Duduwa Gaunpalika,524 5 57 4 004,51107,17068,8876,423,7756,13,52,16051,5750,392,9893,16,35.82
Banke,Janaki Gaunpalika,524 5 57 4 003,70808,17387,10147,491,6736,13,58.36,16299,6260,525,9485,29,38.41
Banke,Khajura Gaunpalika,524 5 57 4 001,51104,20771,14753,529,5481,8,71.03,24879,13830,648,10394,7,55.59
Banke,Kohalpur Municipality,524 5 57 3 001,51102,30656,24652,440,5552,12,80.41,33276,21880,565,10814,17,65.75
Banke,Narainapur Gaunpalika,524 5 57 4 006,51108,15996,6166,579,9221,30,38.55,15007,3310,491,11168,38,22.06
Banke,Nepalganj Sub-Metropolitian City,524 5 57 2 001,51106,64300,47865,1727,14595,113,74.44,61665,38385,1776,21318,186,62.25
Banke,Rapti Sonari Gaunpalika,524 5 57 4 005,51101,25571,18216,703,6647,5,71.24,28460,15371,839,12234,16,54.01
Bara,Aadarsha Kotwal Gaunpalika,524 2 33 4 009,20711,12302,5975,282,6043,2,48.57,11551,3153,287,8106,5,27.3
Bara,Baragadhi Gaunpalika,524 2 33 4 006,20710,12307,7139,218,4941,9,58.01,11908,4208,204,7493,3,35.34
Bara,Bishrampur Gaunpalika,524 2 33 4 004,20706,10910,6715,397,3788,10,61.55,9684,3460,405,5810,9,35.73
Bara,Devtal Gaunpalika,524 2 33 4 007,20715,10644,5827,293,4519,5,54.74,9674,3029,254,6383,8,31.31
Bara,Jitpur Simara Sub-Metropolitian City,524 2 33 2 001,20703,52988,36419,1731,14802,36,68.73,52681,26823,1653,24151,54,50.92
Bara,Kalaiya Sub-Metropolitian City,524 2 33 2 002,20708,56281,37171,1808,17262,40,66.05,52323,22309,1708,28224,82,42.64
Bara,Karaiyamai Gaunpalika,524 2 33 4 003,20709,12018,7190,342,4477,9,59.83,11583,4150,339,7074,20,35.83
Bara,Kolhabi Municipality,524 2 33 3 002,20702,19275,13400,426,5445,4,69.52,20757,9694,474,10577,12,46.7
Bara,Mahagadhimai Municipality,524 2 33 3 003,20714,23420,14246,638,8513,23,60.83,22279,8103,594,13544,38,36.37
Bara,Nijagadh Municipality,524 2 33 3 001,20701,15509,11124,431,3951,3,71.73,16845,9387,395,7055,8,55.73
Bara,Pacharauta Municipality,524 2 33 3 004,20713,15300,7791,532,6969,8,50.92,14459,4171,543,9734,11,28.85
Bara,Parawanipur Gaunpalika,524 2 33 4 001,20704,10427,7238,286,2899,4,69.42,9578,3825,280,5460,13,39.94
Bara,Pheta Gaunpalika,524 2 33 4 005,20707,11498,7596,300,3597,5,66.06,10783,4475,329,5970,9,41.5
Bara,Prasauni Gaunpalika,524 2 33 4 002,20705,11442,7976,224,3240,2,69.71,10709,4780,251,5676,2,44.64
Bara,Simroungadh Municipality,524 2 33 3 005,20712,22077,11833,483,9744,17,53.6,20505,6573,524,13391,17,32.06
Bara,Subarna Gaunpalika,524 2 33 4 008,20716,13275,6031,870,6361,13,45.43,12353,2879,835,8626,13,23.31
Bardiya,Badhaiyatal Gaunpalika,524 5 58 4 002,51208,19982,14803,447,4726,6,74.08,23349,13906,556,8881,6,59.56
Bardiya,Bansgadhi Municipality,524 5 58 3 006,51201,23584,17643,513,5420,8,74.81,27032,15942,722,10348,20,58.97
Bardiya,Barbardiya Municipality,524 5 58 3 005,51202,29429,21635,506,7285,3,73.52,32271,18739,695,12830,7,58.07
Bardiya,Geruwa Gaunpalika,524 5 58 4 001,51204,14911,11148,138,3623,2,74.76,16975,9845,153,6974,3,58
Bardiya,Gulariya Municipality,524 5 58 3 004,51207,30089,20110,732,9240,7,66.84,30158,15722,758,13666,12,52.13
Bardiya,Madhuwan Municipality,524 5 58 3 002,51206,19248,14458,295,4494,1,75.11,22772,13961,359,8447,5,61.31
Bardiya,Rajapur Municipality,524 5 58 3 001,51205,26524,19379,348,6794,3,73.06,28214,16083,410,11712,9,57
Bardiya,Thakurbaba Municipality,524 5 58 3 003,51203,18626,14310,279,4035,2,76.83,21506,12969,351,8181,5,60.3
Bhaktapur,Bhaktapur Municipality,524 3 26 3 003,30702,38376,34531,456,3375,14,89.98,38319,27752,581,9961,25,72.42
Bhaktapur,Changunarayan Municipality,524 3 26 3 002,30701,24975,21991,472,2488,24,88.05,26697,17950,605,8104,38,67.24
Bhaktapur,Madhyapur Thimi Municipality,524 3 26 3 001,30703,39679,36006,601,3063,9,90.74,37687,28860,823,7983,21,76.58
Bhaktapur,Suryabinayak Municipality,524 3 26 3 004,30704,36061,32879,558,2617,7,91.18,37135,26912,794,9410,19,72.47
Bhojpur,Aamchowk Gaunpalika,524 1 10 4 006,10609,7943,5754,274,1914,1,72.44,8719,4964,274,3481,0,56.93
Bhojpur,Arun Gaunpalika,524 1 10 4 003,10605,7186,5838,120,1227,1,81.24,8670,5555,109,3000,6,64.07
Bhojpur,Bhojpur Municipality,524 1 10 3 002,10604,11415,9543,264,1607,1,83.6,13340,8682,322,4331,5,65.08
Bhojpur,Hatuwagadhi Gaunpalika,524 1 10 4 007,10608,8537,6093,334,2109,1,71.37,9997,5558,392,4045,2,55.6
Bhojpur,Pauwa Dunma Gaunpalika,524 1 10 4 005,10606,6379,5067,127,1184,1,79.43,7513,4696,165,2652,0,62.5
Bhojpur,Ramprasad Rai Gaunpalika,524 1 10 4 004,10607,7861,6018,128,1711,4,76.56,9189,5485,156,3545,3,59.69
Bhojpur,Salpa Silichho Gaunpalika,524 1 10 4 001,10602,5542,4078,188,1276,0,73.58,6103,3629,183,2285,6,59.46
Bhojpur,Shadananda Municipality,524 1 10 3 001,10601,13323,10688,250,2378,7,80.22,15156,9592,257,5305,2,63.29
Bhojpur,Tyamke Maiyum Gaunpalika,524 1 10 4 002,10603,7608,6102,265,1240,1,80.21,8928,5612,332,2981,3,62.86
Chitawan,Bharatpur Metropolitian City,524 3 35 1 001,30702,123703,108773,1820,13070,40,87.93,137402,103880,2249,31207,66,75.6
Chitawan,Ichchha Kamana Gaunpalika,524 3 35 4 001,31303,11117,7759,525,2824,9,69.79,11153,6344,578,4220,11,56.88
Chitawan,Kalika Municipality,524 3 35 3 001,30304,18324,13989,527,3804,4,76.34,20406,12691,495,7209,11,62.19
Chitawan,Khairahani Municipality,524 3 35 3 003,31306,24087,19708,375,3995,9,81.82,28275,19172,519,8558,26,67.81
Chitawan,Madi Municipality,524 3 35 3 005,10209,15216,11769,359,3072,16,77.35,19201,12205,450,6529,17,63.56
Chitawan,Rapti Municipality,524 3 35 3 004,31301,24976,19101,829,5031,15,76.48,27798,17876,781,9126,15,64.31
Chitawan,Ratnanagar Municipality,524 3 35 3 002,31305,30854,26067,454,4313,20,84.48,34526,24408,547,9539,32,70.69
Dadeldhura,Aalital Gaunpalika,524 7 73 4 004,70506,7701,5962,187,1545,7,77.42,8362,4626,225,3496,15,55.32
Dadeldhura,Ajayameru Gaunpalika,524 7 73 4 002,70503,6984,5524,202,1256,2,79.1,8280,4257,232,3787,4,51.41
Dadeldhura,Amargadhi Municipality,524 7 73 3 002,70502,8889,7547,165,1176,1,84.9,10179,5845,168,4160,6,57.42
Dadeldhura,Bhageshwor Gaunpalika,524 7 73 4 001,70504,5892,4805,169,915,3,81.55,6575,3591,184,2793,7,54.62
Dadeldhura,Ganyapdhura Gaunpalika,524 7 73 4 005,70507,5519,4307,114,1096,2,78.04,7658,3700,169,3787,2,48.32
Dadeldhura,Nawadurga Gaunpalika,524 7 73 4 003,70501,7315,5749,235,1329,2,78.59,10095,4787,246,5057,5,47.42
Dadeldhura,Parashuram Municipality,524 7 73 3 001,70505,14468,11123,431,2907,7,76.88,15921,8679,495,6733,14,54.51
Dailekh,Aathbis Municipality,524 6 61 3 001,60801,12134,7831,425,3874,4,64.54,12528,5123,408,6986,11,40.89
Dailekh,Bhagawatimai Gaunpalika,524 6 61 4 007,60609,7602,5382,212,2007,1,70.8,8572,4580,256,3734,2,53.43
Dailekh,Bhairabi Gaunpalika,524 6 61 4 002,60603,8899,6279,365,2252,3,70.56,9385,4804,407,4169,5,51.19
Dailekh,Chamunda Bindrasaini Municipality,524 6 61 3 002,60606,11121,7401,406,3311,3,66.55,11192,5301,395,5491,5,47.36
Dailekh,Dullu Municipality,524 6 61 3 003,60607,17098,12747,533,3816,2,74.55,19018,10311,542,8162,3,54.22
Dailekh,Dungeshwor Gaunpalika,524 6 61 4 006,60610,6656,5260,231,1161,4,79.03,7416,4333,338,2726,19,58.43
Dailekh,Gurans Gaunpalika,524 6 61 4 005,60611,9208,7140,217,1843,8,77.54,9955,5790,284,3875,6,58.16
Dailekh,Mahabu Gaunpalika,524 6 61 4 003,60602,7645,5859,209,1577,0,76.64,9068,4941,232,3893,2,54.49
Dailekh,Narayan Municipality,524 6 61 3 004,60608,11072,9093,251,1724,4,82.13,12904,7950,443,4505,6,61.61
Dailekh,Naumule Gaunpalika,524 6 61 4 004,60601,8680,6348,352,1978,2,73.13,9350,5307,355,3688,0,56.76
Dailekh,Thantikandh Gaunpalika,524 6 61 4 001,60604,7970,5146,271,2550,3,64.57,8079,3639,314,4116,10,45.04
Dang,Babai Gaunpalika,524 5 56 4 001,51005,11091,8107,204,2775,5,73.1,13511,7787,266,5453,5,57.63
Dang,Bangalachuli Gaunpalika,524 5 56 4 005,51001,9152,6408,291,2445,8,70.02,11648,5864,282,5487,15,50.34
Dang,Dangisharan Gaunpalika,524 5 56 4 002,51006,8961,6916,157,1880,8,77.18,10579,6592,208,3766,13,62.31
Dang,Gadhawa Gaunpalika,524 5 56 4 006,51009,16533,11670,344,4509,10,70.59,18295,10239,360,7685,11,55.97
Dang,Ghorahi Sub-Metropolitian City,524 5 56 2 002,51002,64812,53244,1210,10330,28,82.15,76628,50825,1449,24306,48,66.33
Dang,Lamahi Municipality,524 5 56 3 001,51007,20750,16186,326,4224,14,78,22611,14308,386,7889,28,63.28
Dang,Rajpur Gaunpalika,524 5 56 4 004,20613,10738,7511,355,2865,7,69.95,11322,5754,305,5252,11,50.82
Dang,Rapti Gaunpalika,524 5 56 4 007,31301,17494,12997,490,3994,13,74.29,19483,11570,594,7297,22,59.39
Dang,Shantinagar Gaunpalika,524 5 56 4 003,51004,10308,7676,207,2416,9,74.47,12337,7405,212,4707,13,60.02
Dang,Tulsipur Sub-Metropolitian City,524 5 56 2 001,51003,59925,49871,900,9116,38,83.22,68519,45849,1271,21352,47,66.91
Darchula,Apihimal Gaunpalika,524 7 75 4 003,70305,2940,2289,83,568,0,77.86,3001,1602,114,1285,0,53.38
Darchula,Byas Gaunpalika,524 7 75 4 001,40702,4310,3302,97,910,1,76.61,4907,2482,121,2301,3,50.58
Darchula,Duhun Gaunpalika,524 7 75 4 002,70302,4455,3512,102,840,1,78.83,5120,2547,132,2437,4,49.75
Darchula,Lekam Gaunpalika,524 7 75 4 006,70309,5861,4747,132,980,2,80.99,7233,3903,170,3156,4,53.96
Darchula,Mahakali Municipality,524 7 75 3 001,70303,9029,7669,150,1208,2,84.94,10028,6187,195,3641,5,61.7
Darchula,Malikarjun Gaunpalika,524 7 75 4 004,70308,6312,5195,84,1030,3,82.3,7479,4340,177,2958,4,58.03
Darchula,Marma Gaunpalika,524 7 75 4 007,70306,6208,4810,179,1219,0,77.48,6646,3455,224,2967,0,51.99
Darchula,Naugad  Gaunpalika,524 7 75 4 005,70304,6404,4519,121,1763,1,70.57,7003,2772,141,4090,0,39.58
Darchula,Shailyashikhar Municipality,524 7 75 3 002,70307,9163,7167,247,1741,8,78.22,10270,5319,281,4666,4,51.79
Dhading,Benighat Rorang Gaunpalika,524 3 30 4 008,30409,13912,9713,435,3755,9,69.82,14079,7898,413,5758,10,56.1
Dhading,Dhunibenshi Municipality,524 3 30 3 002,30413,13993,10281,360,3350,2,73.47,14720,8215,308,6192,5,55.81
Dhading,Gajuri Gaunpalika,524 3 30 4 009,30410,11880,7541,436,3896,7,63.48,12400,6404,400,5583,13,51.65
Dhading,Galchhi Gaunpalika,524 3 30 4 010,30411,11229,8037,275,2911,6,71.57,12243,7182,279,4765,17,58.66
Dhading,Ganga Jamuna Gaunpalika,524 3 30 4 002,30403,8565,5957,128,2479,1,69.55,11348,5927,181,5238,2,52.23
Dhading,Jwalamukhi Gaunpalika,524 3 30 4 006,30407,9497,6524,228,2736,9,68.7,12361,6698,259,5392,12,54.19
Dhading,Khaniyabas Gaunpalika,524 3 30 4 003,30402,5188,3506,87,1591,4,67.58,6210,3309,129,2761,11,53.29
Dhading,Netrawati Gaunpalika,524 3 30 4 005,30405,5095,3567,90,1436,2,70.01,6764,3834,104,2820,6,56.68
Dhading,Nilkhantha Municipality,524 3 30 3 001,30406,23864,17752,553,5537,22,74.39,29525,17324,644,11515,42,58.68
Dhading,Rubi Valley Gaunpalika,524 3 30 4 001,30401,3898,2109,192,1596,1,54.1,4560,1722,165,2669,4,37.76
Dhading,Siddhalek Gaunpalika,524 3 30 4 007,30408,9887,7108,275,2498,6,71.89,11771,6841,389,4538,3,58.12
Dhading,Thakre Gaunpalika,524 3 30 4 011,30412,14618,10729,453,3427,9,73.4,15539,8941,421,6165,12,57.54
Dhading,Tripurasundari Gaunpalika,524 3 30 4 004,60105,9075,6719,252,2102,2,74.04,11991,6771,288,4927,5,56.47
Dhankuta,Chaubise Gaunpalika,524 1 07 4 004,10707,7829,6345,125,1357,2,81.04,9619,6533,198,2887,1,67.92
Dhankuta,Chhathar Jorpati Gaunpalika,524 1 07 4 002,10703,7516,6153,96,1265,2,81.87,9182,5951,158,3069,4,64.81
Dhankuta,Dhankuta Municipality,524 1 07 3 003,10704,15629,13870,186,1567,6,88.75,17970,13591,307,4065,7,75.63
Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,524 1 07 4 001,10705,7955,5805,314,1835,1,72.97,8916,5558,366,2990,2,62.34
Dhankuta,Mahalaxmi Municipality,524 1 07 3 001,10701,10162,8441,124,1597,0,83.06,12341,7987,151,4201,2,64.72
Dhankuta,Pakhribas Municipality,524 1 07 3 002,10702,9045,7319,225,1501,0,80.92,11060,7197,260,3602,1,65.07
Dhankuta,Sangurigadhi Gaunpalika,524 1 07 4 003,10706,9166,7199,207,1759,1,78.54,10538,6820,223,3493,2,64.72
Dhanusa,Aurahi Gaunpalika,524 2 17 4 003,20404,10194,5665,196,4328,5,55.57,10098,3398,227,6454,19,33.65
Dhanusa,Bateshwor Gaunpalika,524 2 17 4 001,20304,10115,6312,349,3411,43,62.4,9270,4041,346,4816,67,43.59
Dhanusa,Bideha Municipality,524 2 17 3 010,20313,14325,7373,784,6091,77,51.47,14559,4684,900,8865,110,32.17
Dhanusa,Chhireshwornath Municipality,524 2 17 3 003,20305,18971,11180,520,7267,4,58.93,18592,7366,546,10672,8,39.62
Dhanusa,Dhanauji Gaunpalika,524 2 17 4 004,20316,9813,5133,258,4238,184,52.31,9490,3103,268,5896,223,32.7
Dhanusa,Dhanushadham Municipality,524 2 17 3 004,20302,19754,11600,633,7487,34,58.72,21107,8012,779,12275,41,37.96
Dhanusa,Ganeshman Charnath Municipality,524 2 17 3 002,20301,15765,9510,515,5718,22,60.32,16843,6928,544,9341,30,41.13
Dhanusa,Hansapur Municipality,524 2 17 3 007,20308,16431,9238,671,6297,225,56.22,17850,6090,846,10543,371,34.12
Dhanusa,Janak Nandini Gaunpalika,524 2 17 4 006,20312,10848,5840,311,4666,31,53.83,11603,3633,339,7586,45,31.31
Dhanusa,Janakpur Sub-Metropolitian City,524 2 17 2 001,20315,76981,55960,1952,19013,56,72.69,71093,38373,1983,30640,97,53.98
Dhanusa,Kamala Municipality,524 2 17 3 011,20311,16536,8287,451,7788,10,50.11,17785,5275,539,11958,13,29.66
Dhanusa,Laxminiya Gaunpalika,524 2 17 4 002,20306,13042,7987,474,4475,106,61.24,12555,5193,500,6720,142,41.36
Dhanusa,Mithila Bihari Municipality,524 2 17 3 005,20307,14964,8304,903,5640,117,55.49,15098,5234,943,8785,136,34.67
Dhanusa,Mithila Municipality,524 2 17 3 001,20303,20914,14760,581,5550,23,70.57,20173,10454,579,9118,22,51.82
Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,524 2 17 4 005,20318,11840,5808,314,5697,21,49.05,10822,3305,319,7177,21,30.54
Dhanusa,Nagarain Municipality,524 2 17 3 009,20317,15904,9153,413,6257,81,57.55,15818,5740,398,9554,126,36.29
Dhanusa,Sabaila Municipality,524 2 17 3 006,20309,22313,12052,749,9485,27,54.01,24588,8392,875,15286,35,34.13
Dhanusa,Shahidnagar Municipality,524 2 17 3 008,20310,20527,11114,836,8558,19,54.14,21775,7200,883,13664,28,33.07
Dolakha,Baitedhar Gaunpalika,524 3 22 4 004,20304,8265,6128,291,1846,0,74.14,10048,5417,347,4282,2,53.91
Dolakha,Bhimeshwor Municipality,524 3 22 3 001,30109,13725,10928,472,2318,7,79.62,16270,9742,776,5732,20,59.88
