Districts,Palika,HLCIT_CODE,cbs code,Total_NE,Total_PE,Agriculture_NE,Agriculture_PE,Manufacturing_NE,Manufacturing_PE,Construction_NE,Construction_PE,Wholesales_NE,Wholesales_PE,Transportations_NE,Transportations_PE,Accommodations_NE,Accommodations_PE,Financial_NE,Financial_PE,Education_NE,Education_PE,Social_Work_NE,Social_Work_PE,Real_Eastate_NE,Real_Eastate_PE
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,237,646,4,8,17,26,0,0,137,210,6,44,34,71,2,9,28,234,8,43,1,1
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,358,791,15,21,33,46,2,2,206,283,2,7,30,44,4,8,41,300,22,75,3,5
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,371,785,34,45,13,25,0,0,222,296,2,9,37,57,1,1,49,301,7,42,6,9
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,337,930,5,6,16,24,2,12,158,264,0,0,84,149,1,8,48,382,16,76,7,9
Achham,Mangalsen Municipality,524 7 69 3 002,70706,672,2350,20,34,54,155,3,13,299,624,13,122,118,287,19,187,50,439,41,272,55,217
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,270,647,8,8,23,26,3,8,151,175,1,2,34,42,3,3,38,325,7,56,2,2
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,396,1154,13,21,34,63,8,14,156,261,4,21,76,141,11,43,63,480,20,89,11,21
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,379,1002,11,21,31,53,6,17,226,398,3,14,27,48,2,5,57,378,8,55,8,13
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,963,4540,6,16,103,173,6,31,569,835,8,27,117,248,16,2074,87,696,27,300,24,140
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,301,835,19,37,9,20,0,0,159,253,2,8,32,65,8,16,56,383,11,48,5,5
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,827,1681,46,78,122,189,1,3,397,567,8,24,86,128,20,26,69,513,35,87,43,66
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,758,1574,64,86,79,133,3,12,360,489,7,25,75,121,26,52,51,491,32,81,61,84
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,818,1666,57,80,102,153,1,1,380,508,5,18,70,98,34,73,70,563,32,75,67,97
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,709,1525,49,100,95,128,1,1,320,421,4,16,96,147,22,35,61,510,20,67,41,100
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,2392,5583,96,185,273,650,4,62,1198,2036,20,106,331,683,54,192,109,922,53,240,254,507
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,1115,2584,142,255,106,316,5,31,441,675,7,28,168,311,23,59,117,741,21,73,85,95
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,1041,2269,74,113,144,247,18,59,476,781,11,43,91,157,19,52,77,613,63,118,68,86
Baglung,Baglung Municipality,524 4 43 3 003,41101,2907,9320,112,536,350,1078,18,162,1540,3066,22,154,339,969,73,434,138,1780,67,375,248,766
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,240,662,2,6,25,35,3,23,137,242,2,4,26,49,4,37,28,217,10,34,3,15
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,836,2331,35,77,97,261,17,48,414,834,5,32,128,295,21,104,53,496,25,64,41,120
Baglung,Galkot Municipality,524 4 43 3 002,41108,1137,4159,117,552,150,439,17,102,518,1004,8,32,115,282,40,296,81,915,25,214,66,323
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,1016,4796,128,797,166,320,11,55,410,771,10,39,72,126,15,639,99,730,35,584,70,735
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,666,3939,51,677,99,179,5,21,314,844,8,26,38,90,14,140,62,582,33,352,42,1028
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,468,1078,47,68,53,86,11,37,248,401,4,10,32,61,3,7,49,357,9,24,12,27
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,248,612,19,21,44,75,11,28,113,214,3,11,16,34,1,7,26,188,11,27,4,7
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,364,1206,27,39,45,122,28,249,146,356,3,9,26,65,11,17,44,265,13,38,21,46
Baitadi,Dasharathchand Municipality,524 7 74 3 001,70405,887,2521,27,65,100,216,6,78,449,820,9,60,86,170,28,160,68,643,29,119,85,190
Baitadi,Dilasaini Gaunpalika,524 7 74 4 001,70401,326,915,11,18,33,58,0,0,167,252,1,5,25,44,1,1,62,470,12,44,14,23
Baitadi,Dogada Kedar Gaunpalika,524 7 74 4 002,70402,391,1316,18,160,32,66,1,1,206,396,5,16,27,50,8,48,65,438,9,58,20,83
Baitadi,Melauli Municipality,524 7 74 3 003,70408,353,1039,25,43,24,54,1,1,152,263,0,0,23,47,11,29,51,411,25,83,41,108
Baitadi,Pancheshwor Gaunpalika,524 7 74 4 004,70406,225,650,14,33,29,40,0,0,92,111,0,0,7,10,2,3,36,323,6,56,39,74
Baitadi,Patam Municipality,524 7 74 3 004,70409,738,1843,78,133,80,152,1,3,322,481,7,32,58,132,18,67,67,614,16,101,91,128
Baitadi,Puchaundi Municipality,524 7 74 3 002,70403,675,1720,27,63,34,75,4,11,360,555,7,28,83,135,12,23,93,639,18,114,37,77
Baitadi,Shivanath Gaunpalika,524 7 74 4 005,70407,153,455,11,24,8,12,0,0,65,98,0,0,7,9,1,3,38,252,5,19,18,38
Baitadi,Sigas Gaunpalika,524 7 74 4 006,70410,227,706,27,51,12,16,0,0,66,80,2,5,17,21,5,12,55,422,5,35,38,64
Baitadi,Surnaya Gaunpalika,524 7 74 4 003,70404,420,1103,34,58,17,18,2,5,170,254,5,13,8,12,17,35,38,333,14,59,115,316
Bajhang,Bitthadchir Gaunpalika,524 7 67 4 004,70210,556,1439,21,82,100,199,2,11,216,362,1,5,52,72,20,44,39,324,61,209,44,131
Bajhang,Bungal Municipality,524 7 67 3 001,70202,741,1740,31,37,94,162,4,28,378,564,3,17,53,79,3,9,103,683,30,89,42,72
Bajhang,Chhabis Pathibhara Gaunpalika,524 7 67 4 007,70207,491,1114,14,29,104,144,13,31,228,346,2,7,29,57,4,7,46,393,32,79,19,21
Bajhang,Durgathali Gaunpalika,524 7 67 4 006,70208,419,917,9,9,111,180,11,37,178,284,1,2,33,55,2,3,36,264,26,63,12,20
Bajhang,Jayaprithbi Municipality,524 7 67 3 002,70206,1212,3583,44,142,168,397,10,50,572,1072,10,67,156,398,26,91,70,584,73,296,83,486
Bajhang,Kanda Gaunpalika,524 7 67 4 001,70201,47,170,1,12,1,2,0,0,30,68,1,3,6,15,0,0,5,47,3,23,0,0
Bajhang,Kedarsyun Gaunpalika,524 7 67 4 005,70209,643,1745,26,85,91,210,3,8,333,593,1,10,60,124,4,8,60,477,35,138,30,92
Bajhang,Khaptad Chhanna Gaunpalika,524 7 67 4 010,70212,474,951,9,13,107,131,10,27,209,263,4,15,37,47,4,5,47,351,38,80,9,19
Bajhang,Masta Gaunpalika,524 7 67 4 008,70205,487,1087,39,136,97,116,6,19,252,367,3,11,4,9,7,14,35,272,37,129,7,14
Bajhang,Surma Gaunpalika,524 7 67 4 002,70203,256,713,12,37,36,64,4,31,154,361,1,7,4,13,0,0,22,149,20,47,3,4
Bajhang,Talkot Gaunpalika,524 7 67 4 003,70204,442,1094,27,139,99,163,5,17,198,315,1,7,33,64,3,7,37,243,31,95,8,44
Bajhang,Thalara Gaunpalika,524 7 67 4 009,70211,451,893,33,46,105,115,5,12,151,162,4,15,13,20,8,12,48,371,53,105,31,35
Bajura,Badimalika Municipality,524 7 68 3 002,70106,836,2156,42,230,133,190,2,6,370,627,7,39,162,310,21,144,35,371,16,145,48,94
Bajura,Budhiganga Municipality,524 7 68 3 003,11213,530,1121,51,74,48,78,2,3,281,448,1,4,46,86,23,24,43,343,15,28,20,33
Bajura,Budhinanda Municipality,524 7 68 3 001,70103,595,1390,2,3,129,241,0,0,322,600,1,8,84,191,8,15,32,293,3,22,14,17
Bajura,Chhededaha Gaunpalika,524 7 68 4 003,70107,497,1095,33,40,105,209,6,33,247,388,4,12,30,49,10,14,39,285,9,43,14,22
Bajura,Gaumul Gaunpalika,524 7 68 4 002,70102,263,605,24,24,70,113,12,19,104,215,1,6,5,11,7,9,27,178,7,23,6,7
Bajura,Himali Gaunpalika,524 7 68 4 001,70101,338,622,18,19,43,46,1,1,110,151,1,7,89,147,4,4,28,187,18,34,26,26
Bajura,Pandab Gufa Gaunpalika,524 7 68 4 004,70105,277,546,3,13,94,99,1,3,145,265,1,5,9,16,3,18,14,103,6,22,1,2
Bajura,Swami Kartik Gaunpalika,524 7 68 4 005,70104,180,473,0,0,28,37,0,0,111,199,1,4,6,14,0,0,26,196,4,19,4,4
Bajura,Tribeni Municipality,524 7 68 3 004,50206,375,851,11,16,77,98,0,0,208,281,3,6,9,13,8,15,42,373,8,36,9,13
Banke,Baijanath Gaunpalika,524 5 57 4 002,51103,1481,4303,15,177,132,822,0,0,981,1695,3,13,156,302,14,48,57,1057,26,50,97,139
Banke,Duduwa Gaunpalika,524 5 57 4 004,51107,876,2070,20,74,78,327,0,0,557,986,3,7,34,76,3,10,80,380,25,84,76,126
Banke,Janaki Gaunpalika,524 5 57 4 003,70808,904,4372,7,20,142,2461,0,0,548,1176,5,55,81,205,2,5,37,270,17,53,65,127
Banke,Khajura Gaunpalika,524 5 57 4 001,51104,1651,4478,21,122,189,1103,2,8,1002,1575,7,29,176,347,21,99,69,876,33,125,131,194
Banke,Kohalpur Municipality,524 5 57 3 001,51102,4623,14508,63,248,421,2564,10,92,2796,5233,20,283,738,1760,57,395,134,2161,53,859,331,913
Banke,Narainapur Gaunpalika,524 5 57 4 006,51108,631,1444,14,53,63,238,0,0,426,741,6,18,23,52,2,6,46,206,13,66,38,64
Banke,Nepalganj Sub-Metropolitian City,524 5 57 2 001,51106,7176,30470,18,81,905,7552,17,195,4083,9429,69,843,1027,3334,106,1388,200,3813,111,1780,640,2055
Banke,Rapti Sonari Gaunpalika,524 5 57 4 005,51101,1324,3237,46,192,121,243,1,2,799,1320,3,11,145,374,16,71,69,791,34,89,90,144
Bara,Aadarsha Kotwal Gaunpalika,524 2 33 4 009,20711,331,719,0,0,22,50,0,0,215,337,1,3,28,51,4,15,26,187,7,37,28,39
Bara,Baragadhi Gaunpalika,524 2 33 4 006,20710,366,1421,5,10,47,681,0,0,235,430,0,0,25,53,0,0,23,171,5,29,26,47
Bara,Bishrampur Gaunpalika,524 2 33 4 004,20706,414,1313,9,20,47,446,0,0,236,491,4,13,67,136,3,10,17,143,5,22,26,32
Bara,Devtal Gaunpalika,524 2 33 4 007,20715,154,365,4,12,13,52,0,0,111,201,0,0,13,29,0,0,8,53,2,14,3,4
Bara,Jitpur Simara Sub-Metropolitian City,524 2 33 2 001,20703,3105,18549,23,142,278,8227,11,54,1908,4129,36,175,496,1402,63,1473,55,1134,19,113,216,1700
Bara,Kalaiya Sub-Metropolitian City,524 2 33 2 002,20708,2334,7726,6,26,228,1356,10,152,1457,2930,18,204,250,590,44,452,72,1248,20,181,229,587
Bara,Karaiyamai Gaunpalika,524 2 33 4 003,20709,227,628,3,9,2,4,0,0,179,370,1,2,7,20,0,0,20,175,5,27,10,21
Bara,Kolhabi Municipality,524 2 33 3 002,20702,703,2897,1,5,66,1116,1,2,472,957,2,13,44,107,17,86,36,451,11,66,53,94
Bara,Mahagadhimai Municipality,524 2 33 3 003,20714,1020,3087,2,3,114,675,0,0,622,1165,2,19,87,209,19,122,64,634,8,24,102,236
Bara,Nijagadh Municipality,524 2 33 3 001,20701,885,2061,11,77,75,155,0,0,592,1045,4,12,110,238,15,97,21,316,9,47,48,74
Bara,Pacharauta Municipality,524 2 33 3 004,20713,474,1062,13,42,30,106,0,0,322,534,0,0,39,78,2,4,26,189,7,47,35,62
Bara,Parawanipur Gaunpalika,524 2 33 4 001,20704,523,3257,5,48,89,1524,1,6,310,632,9,81,45,97,10,280,16,375,5,138,33,76
Bara,Pheta Gaunpalika,524 2 33 4 005,20707,424,1776,16,33,59,981,1,5,253,464,1,3,36,81,2,2,16,136,4,16,36,55
Bara,Prasauni Gaunpalika,524 2 33 4 002,20705,308,1304,7,15,32,636,0,0,186,318,2,8,24,58,6,26,14,165,4,22,33,56
Bara,Simroungadh Municipality,524 2 33 3 005,20712,875,1898,44,99,82,215,3,22,509,812,4,17,66,141,13,61,45,319,17,56,92,156
Bara,Subarna Gaunpalika,524 2 33 4 008,20716,306,661,3,9,41,106,0,0,192,279,0,0,24,35,1,2,24,195,1,7,20,28
Bardiya,Badhaiyatal Gaunpalika,524 5 58 4 002,51208,1670,5172,105,410,173,1013,1,6,963,1672,6,39,137,314,27,205,53,771,47,174,158,568
Bardiya,Bansgadhi Municipality,524 5 58 3 006,51201,1888,5105,104,331,181,814,5,34,1103,1965,6,28,190,484,30,132,71,848,47,153,151,316
Bardiya,Barbardiya Municipality,524 5 58 3 005,51202,2147,6060,136,750,231,772,10,48,1160,1843,6,18,164,335,40,134,71,860,60,291,269,1009
Bardiya,Geruwa Gaunpalika,524 5 58 4 001,51204,931,2084,36,87,98,218,1,2,521,861,4,8,81,159,10,35,41,453,38,94,101,167
Bardiya,Gulariya Municipality,524 5 58 3 004,51207,2671,8299,100,415,280,2184,12,151,1561,2787,9,61,228,545,33,199,67,876,41,216,340,865
Bardiya,Madhuwan Municipality,524 5 58 3 002,51206,2026,4700,106,396,206,578,15,71,1216,1956,9,27,171,350,33,148,48,627,47,170,175,377
Bardiya,Rajapur Municipality,524 5 58 3 001,51205,2097,5350,66,148,194,609,7,46,1027,2242,12,52,211,450,42,158,59,705,195,405,284,535
Bardiya,Thakurbaba Municipality,524 5 58 3 003,51203,1466,3944,55,173,150,477,16,149,829,1397,7,28,139,446,35,179,54,695,24,96,157,304
Bhaktapur,Bhaktapur Municipality,524 3 26 3 003,30702,6462,25159,13,56,1302,4581,20,216,3047,5980,27,508,980,2798,179,2011,175,5210,56,1560,663,2239
Bhaktapur,Changunarayan Municipality,524 3 26 3 002,30701,2922,19414,87,470,456,10026,68,612,1065,1877,6,19,601,1431,56,1331,77,1502,270,980,236,1166
Bhaktapur,Madhyapur Thimi Municipality,524 3 26 3 001,30703,5334,22549,15,69,829,4199,37,309,2773,5976,29,400,941,2227,135,2442,135,3507,44,1730,396,1690
Bhaktapur,Suryabinayak Municipality,524 3 26 3 004,30704,4913,19174,39,220,780,5558,26,193,2502,4599,14,164,881,1918,126,1710,125,2480,93,1455,327,877
Bhojpur,Aamchowk Gaunpalika,524 1 10 4 006,10609,365,727,16,17,44,63,1,6,147,183,6,21,21,33,11,18,45,275,65,102,9,9
Bhojpur,Arun Gaunpalika,524 1 10 4 003,10605,289,826,45,75,32,60,0,0,112,227,4,12,29,76,8,9,38,289,9,59,12,19
Bhojpur,Bhojpur Municipality,524 1 10 3 002,10604,1215,3638,78,141,143,311,5,229,510,1051,10,59,213,461,57,238,60,716,43,209,96,223
Bhojpur,Hatuwagadhi Gaunpalika,524 1 10 4 007,10608,281,777,25,28,23,40,2,5,130,284,2,4,21,43,11,16,39,283,8,42,20,32
Bhojpur,Pauwa Dunma Gaunpalika,524 1 10 4 005,10606,412,857,78,96,34,50,1,1,135,239,5,14,38,70,27,36,36,255,37,69,21,27
Bhojpur,Ramprasad Rai Gaunpalika,524 1 10 4 004,10607,299,732,32,59,27,41,0,0,124,233,7,20,25,44,10,10,36,252,14,48,24,25
Bhojpur,Salpa Silichho Gaunpalika,524 1 10 4 001,10602,195,530,0,0,10,16,0,0,130,220,0,0,10,25,2,3,35,231,6,32,2,3
Bhojpur,Shadananda Municipality,524 1 10 3 001,10601,579,1405,31,36,64,101,1,2,298,547,2,6,83,165,8,24,59,435,14,58,19,31
Bhojpur,Tyamke Maiyum Gaunpalika,524 1 10 4 002,10603,439,870,30,32,51,68,1,1,138,184,2,6,28,40,19,22,41,344,87,128,42,45
Chitawan,Bharatpur Metropolitian City,524 3 35 1 001,30702,17077,64812,208,1530,2007,10086,53,627,9491,22291,116,1172,2929,8586,246,2791,413,7912,211,6429,1403,3388
Chitawan,Ichchha Kamana Gaunpalika,524 3 35 4 001,31303,988,3649,51,536,43,97,3,20,456,994,2,8,308,885,8,73,49,432,26,348,42,256
Chitawan,Kalika Municipality,524 3 35 3 001,30304,1516,3571,28,134,184,493,7,38,840,1429,6,34,225,408,25,132,49,621,48,107,104,175
Chitawan,Khairahani Municipality,524 3 35 3 003,31306,2749,10770,118,574,398,3801,16,75,1517,3418,4,44,344,763,53,304,68,1234,37,178,194,379
Chitawan,Madi Municipality,524 3 35 3 005,10209,1007,2528,10,29,127,266,2,10,577,1045,2,5,138,314,14,53,53,603,12,91,72,112
Chitawan,Rapti Municipality,524 3 35 3 004,31301,1756,5222,73,311,189,911,13,74,1011,2058,4,20,204,471,39,162,74,892,17,70,132,253
Chitawan,Ratnanagar Municipality,524 3 35 3 002,31305,4144,14075,97,579,514,2716,13,183,2268,4779,12,104,691,2844,57,343,88,1510,54,261,350,756
Dadeldhura,Aalital Gaunpalika,524 7 73 4 004,70506,401,1079,60,195,89,170,2,14,126,158,2,12,30,66,8,25,43,298,23,71,18,70
Dadeldhura,Ajayameru Gaunpalika,524 7 73 4 002,70503,324,839,33,97,73,104,0,0,141,200,1,1,28,40,5,37,34,313,6,43,3,4
Dadeldhura,Amargadhi Municipality,524 7 73 3 002,70502,1250,4329,74,239,156,409,7,97,608,1296,19,118,157,500,46,224,60,687,33,382,90,377
Dadeldhura,Bhageshwor Gaunpalika,524 7 73 4 001,70504,357,719,7,11,136,207,2,5,146,159,3,7,19,28,0,0,36,271,4,25,4,6
Dadeldhura,Ganyapdhura Gaunpalika,524 7 73 4 005,70507,359,1016,56,147,39,59,1,3,155,299,1,6,57,169,3,7,32,288,6,25,9,13
Dadeldhura,Nawadurga Gaunpalika,524 7 73 4 003,70501,376,1012,54,220,42,67,1,5,192,299,4,11,24,35,3,15,43,307,9,49,4,4
Dadeldhura,Parashuram Municipality,524 7 73 3 001,70505,987,2475,79,221,175,323,30,94,436,781,5,24,67,139,10,39,94,615,25,115,66,124
Dailekh,Aathbis Municipality,524 6 61 3 001,60801,694,1752,27,81,45,76,3,17,342,633,3,12,169,365,5,21,68,460,15,62,17,25
Dailekh,Bhagawatimai Gaunpalika,524 6 61 4 007,60609,426,885,31,44,72,94,0,0,208,322,3,10,34,58,5,9,35,268,21,58,17,22
Dailekh,Bhairabi Gaunpalika,524 6 61 4 002,60603,483,987,28,57,18,27,1,7,283,396,0,0,80,125,6,7,48,318,10,35,9,15
Dailekh,Chamunda Bindrasaini Municipality,524 6 61 3 002,60606,477,1154,11,24,32,47,1,1,230,352,4,20,110,204,2,4,58,433,7,36,22,33
Dailekh,Dullu Municipality,524 6 61 3 003,60607,1013,2350,28,45,79,142,0,0,570,925,12,47,171,326,12,46,63,601,30,126,48,92
Dailekh,Dungeshwor Gaunpalika,524 6 61 4 006,60610,441,988,27,41,40,71,0,0,204,335,4,13,71,126,7,13,34,268,32,61,22,60
Dailekh,Gurans Gaunpalika,524 6 61 4 005,60611,614,1232,35,47,72,108,1,5,259,325,2,7,127,212,8,17,47,382,29,80,34,49
Dailekh,Mahabu Gaunpalika,524 6 61 4 003,60602,373,846,32,47,34,49,1,2,186,288,4,17,24,48,1,1,38,297,23,62,30,35
Dailekh,Narayan Municipality,524 6 61 3 004,60608,1138,3012,42,78,85,228,16,64,564,923,8,53,235,464,28,113,62,597,25,146,73,346
Dailekh,Naumule Gaunpalika,524 6 61 4 004,60601,398,1016,6,15,50,79,1,21,200,329,1,3,61,133,7,24,48,317,14,69,10,26
Dailekh,Thantikandh Gaunpalika,524 6 61 4 001,60604,251,652,6,12,12,22,0,0,130,205,3,8,42,77,3,4,42,259,10,61,3,4
Dang,Babai Gaunpalika,524 5 56 4 001,51005,504,1288,6,16,68,149,0,0,309,540,1,5,45,93,12,52,30,376,15,28,18,29
Dang,Bangalachuli Gaunpalika,524 5 56 4 005,51001,387,1013,20,35,32,64,1,1,212,426,1,2,48,101,5,20,36,286,13,49,19,29
Dang,Dangisharan Gaunpalika,524 5 56 4 002,51006,360,983,8,49,34,65,3,4,231,390,2,6,24,39,5,28,24,295,13,79,16,28
Dang,Gadhawa Gaunpalika,524 5 56 4 006,51009,905,2513,14,35,106,242,18,246,521,874,3,23,107,282,25,115,36,508,17,71,58,117
Dang,Ghorahi Sub-Metropolitian City,524 5 56 2 002,51002,5219,17846,62,240,614,2563,19,126,3116,6800,31,209,743,2036,59,1597,159,2925,69,589,347,761
Dang,Lamahi Municipality,524 5 56 3 001,51007,1343,5133,29,185,168,1183,6,87,704,1623,13,85,223,580,40,235,52,767,28,204,80,184
Dang,Rajpur Gaunpalika,524 5 56 4 004,20613,323,885,18,33,36,67,2,37,181,317,1,3,21,39,4,14,39,312,10,40,11,23
Dang,Rapti Gaunpalika,524 5 56 4 007,31301,1218,4564,36,101,136,321,8,1564,723,1283,3,11,146,320,26,141,36,641,20,59,84,123
Dang,Shantinagar Gaunpalika,524 5 56 4 003,51004,474,1216,12,31,50,115,3,14,306,500,1,4,42,75,8,23,27,399,13,37,12,18
Dang,Tulsipur Sub-Metropolitian City,524 5 56 2 001,51003,3688,12157,52,226,399,2501,5,74,2336,5076,9,74,453,1084,27,195,123,2128,68,383,216,416
Darchula,Apihimal Gaunpalika,524 7 75 4 003,70305,141,416,4,14,17,29,5,7,61,96,0,0,5,9,8,14,19,105,10,59,12,83
Darchula,Byas Gaunpalika,524 7 75 4 001,40702,215,551,1,1,46,86,5,8,99,158,4,21,19,31,1,1,25,140,11,95,4,10
Darchula,Duhun Gaunpalika,524 7 75 4 002,70302,194,490,3,4,15,21,3,6,102,154,2,5,6,9,4,7,17,102,29,161,13,21
Darchula,Lekam Gaunpalika,524 7 75 4 006,70309,283,1224,16,117,45,104,4,33,106,172,15,41,7,10,7,37,49,341,22,176,12,193
Darchula,Mahakali Municipality,524 7 75 3 001,70303,1169,3749,127,364,157,352,6,65,527,867,17,103,134,286,24,162,64,631,42,589,71,330
Darchula,Malikarjun Gaunpalika,524 7 75 4 004,70308,393,1192,26,178,97,223,5,15,157,208,6,21,33,37,7,49,40,241,16,184,6,36
Darchula,Marma Gaunpalika,524 7 75 4 007,70306,264,732,3,6,26,62,4,9,128,198,3,13,18,34,9,20,39,205,17,142,17,43
Darchula,Naugad  Gaunpalika,524 7 75 4 005,70304,230,973,1,3,20,71,1,3,146,517,1,8,13,43,0,0,32,180,10,125,6,23
Darchula,Shailyashikhar Municipality,524 7 75 3 002,70307,524,1510,1,2,96,187,6,117,263,414,7,21,55,92,7,120,49,338,20,191,20,28
Dhading,Benighat Rorang Gaunpalika,524 3 30 4 008,30409,1256,3688,59,195,78,249,15,62,670,1483,0,0,256,770,11,77,61,508,37,140,69,204
Dhading,Dhunibenshi Municipality,524 3 30 3 002,30413,1073,8057,43,173,144,5056,2,19,457,1023,0,0,289,744,24,197,46,544,10,72,58,229
Dhading,Gajuri Gaunpalika,524 3 30 4 009,30410,1093,6487,86,2538,91,227,8,75,458,851,5,17,244,520,29,170,44,440,58,705,70,944
