Districts,Palika,HLCIT_CODE,cbs code,Total_NE,Total_PE,Agriculture_NE,Agriculture_PE,Manufacturing_NE,Manufacturing_PE,Construction_NE,Construction_PE,Wholesales_NE,Wholesales_PE,Transportations_NE,Transportations_PE,Accommodations_NE,Accommodations_PE,Financial_NE,Financial_PE,Education_NE,Education_PE,Social_Work_NE,Social_Work_PE,Real_Eastate_NE,Real_Eastate_PE
Dhading,Galchhi Gaunpalika,524 3 30 4 010,30411,934,4941,66,1403,120,295,17,123,398,846,2,9,145,355,32,166,40,406,43,758,71,580
Dhading,Ganga Jamuna Gaunpalika,524 3 30 4 002,30403,756,2009,58,151,147,281,12,24,297,643,12,41,46,101,52,152,52,376,20,72,60,168
Dhading,Jwalamukhi Gaunpalika,524 3 30 4 006,30407,648,2203,74,519,123,216,2,7,267,512,2,7,71,144,19,111,47,507,24,130,19,50
Dhading,Khaniyabas Gaunpalika,524 3 30 4 003,30402,450,2078,28,70,60,114,12,77,151,331,2,3,40,79,10,235,28,197,39,472,80,500
Dhading,Netrawati Gaunpalika,524 3 30 4 005,30405,415,991,36,52,72,138,2,7,162,250,1,3,41,76,21,67,29,198,22,78,29,122
Dhading,Nilkhantha Municipality,524 3 30 3 001,30406,2382,8212,180,693,286,1202,11,197,1182,2131,12,133,301,701,61,257,116,1313,48,275,185,1310
Dhading,Rubi Valley Gaunpalika,524 3 30 4 001,30401,316,1109,7,25,32,102,5,15,107,284,35,69,23,60,2,5,23,175,26,104,56,270
Dhading,Siddhalek Gaunpalika,524 3 30 4 007,30408,682,7010,98,2911,101,223,9,77,272,635,1,4,57,135,13,256,50,489,37,474,44,1806
Dhading,Thakre Gaunpalika,524 3 30 4 011,30412,1018,5312,113,333,135,1095,22,236,405,885,1,3,208,445,8,32,38,402,35,663,53,1218
Dhading,Tripurasundari Gaunpalika,524 3 30 4 004,60105,1028,3424,68,457,191,430,9,129,420,798,1,2,113,241,98,489,43,480,23,102,62,296
Dhankuta,Chaubise Gaunpalika,524 1 07 4 004,10707,716,1575,58,77,77,140,1,1,267,428,6,22,72,128,43,84,56,438,58,131,78,126
Dhankuta,Chhathar Jorpati Gaunpalika,524 1 07 4 002,10703,552,1549,29,101,62,267,1,3,277,478,2,6,105,225,17,79,34,341,9,30,16,19
Dhankuta,Dhankuta Municipality,524 1 07 3 003,10704,2430,7103,106,485,300,1071,20,194,1006,1915,25,168,530,1117,74,335,92,1186,72,241,205,391
Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,524 1 07 4 001,10705,388,902,9,16,34,67,28,38,159,248,3,12,44,78,9,24,44,335,32,54,26,30
Dhankuta,Mahalaxmi Municipality,524 1 07 3 001,10701,748,1561,120,199,92,148,4,12,319,427,1,4,87,149,19,40,58,492,11,51,37,39
Dhankuta,Pakhribas Municipality,524 1 07 3 002,10702,576,1736,8,26,83,177,2,6,305,648,5,26,83,160,10,37,45,571,11,49,24,36
Dhankuta,Sangurigadhi Gaunpalika,524 1 07 4 003,10706,587,1394,58,80,35,49,5,12,212,325,12,38,149,349,14,48,53,374,22,78,27,41
Dhanusa,Aurahi Gaunpalika,524 2 17 4 003,20404,433,1053,0,0,58,146,3,21,260,468,3,9,45,79,1,3,20,215,9,38,34,74
Dhanusa,Bateshwor Gaunpalika,524 2 17 4 001,20304,257,833,0,0,35,159,0,0,154,374,0,0,19,55,1,6,15,145,7,16,26,78
Dhanusa,Bideha Municipality,524 2 17 3 010,20313,566,991,3,6,90,145,0,0,349,409,2,8,39,59,1,5,25,271,4,23,53,65
Dhanusa,Chhireshwornath Municipality,524 2 17 3 003,20305,1255,4524,5,44,152,1259,4,54,839,1635,4,19,94,238,18,87,25,420,16,595,98,173
Dhanusa,Dhanauji Gaunpalika,524 2 17 4 004,20316,623,1438,1,3,63,263,0,0,386,666,4,16,80,147,2,5,24,190,7,41,56,107
Dhanusa,Dhanushadham Municipality,524 2 17 3 004,20302,931,2349,5,17,105,345,10,66,607,1152,1,2,87,171,8,34,33,401,11,48,64,113
Dhanusa,Ganeshman Charnath Municipality,524 2 17 3 002,20301,572,1525,4,9,58,140,2,11,363,713,1,1,58,127,10,41,30,353,8,40,38,90
Dhanusa,Hansapur Municipality,524 2 17 3 007,20308,539,1125,1,2,63,154,1,1,348,541,0,0,41,78,6,15,27,211,8,43,44,80
Dhanusa,Janak Nandini Gaunpalika,524 2 17 4 006,20312,437,879,0,0,41,128,0,0,293,405,2,8,44,62,3,5,20,198,5,30,29,43
Dhanusa,Janakpur Sub-Metropolitian City,524 2 17 2 001,20315,7523,25345,12,45,860,4511,18,293,4359,9516,58,362,778,2173,91,661,226,4346,155,1376,966,2062
Dhanusa,Kamala Municipality,524 2 17 3 011,20311,508,1152,0,0,53,110,0,0,366,701,0,0,41,94,3,6,21,193,5,17,19,31
Dhanusa,Laxminiya Gaunpalika,524 2 17 4 002,20306,480,1834,5,40,47,711,0,0,331,566,0,0,27,63,1,2,24,331,8,50,37,71
Dhanusa,Mithila Bihari Municipality,524 2 17 3 005,20307,574,1560,2,8,80,343,0,0,339,627,2,6,51,110,7,23,33,288,11,41,49,114
Dhanusa,Mithila Municipality,524 2 17 3 001,20303,1079,7283,15,43,79,560,5,36,650,1372,2,13,178,615,22,3646,40,649,19,211,69,138
Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,524 2 17 4 005,20318,209,460,1,1,36,55,0,0,118,180,0,0,24,51,0,0,18,159,0,0,12,14
Dhanusa,Nagarain Municipality,524 2 17 3 009,20317,507,1288,2,4,57,251,0,0,311,518,3,10,47,91,6,21,26,286,6,40,49,67
Dhanusa,Sabaila Municipality,524 2 17 3 006,20309,630,1197,0,0,56,144,1,2,442,637,0,0,42,85,4,17,20,216,0,0,65,96
Dhanusa,Shahidnagar Municipality,524 2 17 3 008,20310,842,1639,2,10,124,323,1,4,555,825,2,7,54,101,6,12,28,254,11,32,59,71
Dolakha,Baitedhar Gaunpalika,524 3 22 4 004,20304,586,1657,45,142,82,256,5,11,245,447,1,3,92,142,27,132,35,380,18,71,36,73
Dolakha,Bhimeshwor Municipality,524 3 22 3 001,30109,1998,6786,97,514,229,805,26,245,852,1685,29,162,362,888,89,422,75,933,68,663,171,469
Dolakha,Bigu Gaunpalika,524 3 22 4 001,30102,540,3019,25,60,51,81,34,1736,230,435,3,8,71,139,34,44,41,289,21,67,30,160
Dolakha,Gaurishankar Gaunpalika,524 3 22 4 002,30101,504,2077,57,332,27,53,4,57,169,410,3,9,45,111,14,93,48,303,69,321,68,388
Dolakha,Jiri Municipality,524 3 22 3 002,30105,538,1659,45,178,42,95,9,42,230,453,4,12,101,210,24,94,37,350,7,68,39,157
Dolakha,Kalinchowk Gaunpalika,524 3 22 4 003,30103,979,2740,96,306,126,260,14,72,347,669,5,22,145,340,31,93,55,447,95,335,65,196
Dolakha,Melung Gaunpalika,524 3 22 4 006,30107,537,1588,46,229,109,178,0,0,184,328,3,12,29,65,28,93,38,313,66,249,34,121
Dolakha,Shailung Gaunpalika,524 3 22 4 005,30108,543,1590,82,355,43,72,1,2,208,397,1,3,49,91,26,54,33,278,43,165,57,173
Dolakha,Tamakoshi Gaunpalika,524 3 22 4 007,30106,533,1215,63,68,49,98,7,60,210,331,4,10,38,63,48,72,39,381,58,110,17,22
Dolpa,Chharka Tangsong Gaunpalika,524 6 62 4 006,60108,31,82,1,1,0,0,0,0,3,10,0,0,14,36,0,0,5,21,1,4,7,10
Dolpa,Dolpo Buddha Gaunpalika,524 6 62 4 003,60101,80,196,0,0,0,0,0,0,15,30,3,7,59,118,0,0,3,41,0,0,0,0
Dolpa,Jagadulla Gaunpalika,524 6 62 4 002,60103,48,147,2,4,0,0,0,0,36,74,0,0,1,2,0,0,5,48,2,12,2,7
Dolpa,Kaike Gaunpalika,524 6 62 4 005,60107,48,179,8,41,0,0,0,0,1,2,0,0,23,58,0,0,11,56,3,16,2,6
Dolpa,Mudkechula Gaunpalika,524 6 62 4 004,60104,62,158,1,2,1,2,0,0,53,102,0,0,0,0,0,0,3,24,3,23,1,5
Dolpa,Shey Phoksundo Gaunpalika,524 6 62 4 001,60102,78,595,0,0,1,3,0,0,12,38,0,0,25,75,0,0,10,62,3,14,27,403
Dolpa,Thulibheri Municipality,524 6 62 3 002,60106,283,1327,17,422,15,34,3,4,149,300,9,66,46,109,5,36,23,197,3,39,13,120
Dolpa,Tripurasundari Municipality,524 6 62 3 001,30210,230,541,2,12,7,12,0,0,107,140,2,9,69,107,0,0,33,218,5,36,5,7
Doti,Aadarsha Gaunpalika,524 7 70 4 001,70603,320,751,21,22,21,27,3,13,196,234,1,2,16,29,1,2,48,361,12,58,1,3
Doti,Badi Kedar Gaunpalika,524 7 70 4 006,70608,261,726,2,4,23,37,1,1,128,213,2,8,51,99,1,2,41,326,5,23,7,13
Doti,Bogatan Gaunpalika,524 7 70 4 007,70607,271,704,11,19,12,20,5,12,115,204,1,14,23,35,4,12,46,294,44,82,10,12
Doti,Dipayal Silgadhi Municipality,524 7 70 3 002,70605,1115,3479,13,66,116,241,54,321,540,999,18,134,193,448,17,94,58,653,27,269,79,254
Doti,Jorayal Gaunpalika,524 7 70 4 004,70609,425,959,32,48,37,62,7,20,204,274,1,2,78,168,4,17,26,257,16,55,20,56
Doti,K.I. Singh Gaunpalika,524 7 70 4 005,70606,287,818,24,27,29,49,2,4,138,252,0,0,43,78,2,10,40,356,7,39,2,3
Doti,Purbichouki Gaunpalika,524 7 70 4 003,70601,279,801,4,9,24,39,8,17,122,208,5,18,48,119,1,1,51,328,7,49,9,13
Doti,Sayal Gaunpalika,524 7 70 4 002,70602,203,509,9,20,10,17,2,5,119,161,1,1,9,14,2,5,37,250,8,29,6,7
Doti,Shikhar Municipality,524 7 70 3 001,70604,506,1079,27,38,52,80,2,6,294,420,0,0,43,61,4,6,68,395,11,68,5,5
Gorkha,Aarughat Gaunpalika,524 4 36 4 006,40105,882,2290,65,101,114,265,4,65,452,949,7,32,107,210,16,99,40,414,25,78,52,77
Gorkha,Ajirkot Gaunpalika,524 4 36 4 002,40102,713,1579,95,152,97,195,46,101,271,476,4,19,62,124,13,33,37,308,38,100,50,71
Gorkha,Bhimsen Gaunpalika,524 4 36 4 007,40106,710,1738,53,130,101,172,4,15,334,566,4,16,67,112,15,50,47,436,47,147,38,94
Gorkha,Chumanubri Gaunpalika,524 4 36 4 001,40101,217,965,0,0,2,4,2,7,47,159,1,4,109,485,1,2,19,96,11,80,25,128
Gorkha,Dharche Gaunpalika,524 4 36 4 004,40104,534,969,44,49,40,55,8,17,200,296,5,11,86,165,7,9,24,205,52,82,68,80
Gorkha,Gandaki Gaunpalika,524 4 36 4 009,40111,849,2596,197,557,63,144,8,38,295,731,4,14,55,163,44,100,47,406,67,218,69,225
Gorkha,Gorkha Municipality,524 4 36 3 002,40109,3059,10225,180,453,333,1842,22,163,1439,2850,14,120,450,1067,77,419,93,1451,219,658,232,1202
Gorkha,Palungtar Municipality,524 4 36 3 001,40108,1474,4029,128,481,198,496,12,73,652,1291,6,23,169,310,49,140,63,710,72,239,125,266
Gorkha,Shahid Lakhan Gaunpalika,524 4 36 4 008,40110,858,2560,51,145,56,104,2,9,419,870,4,26,136,544,37,129,45,390,50,117,58,226
Gorkha,Siranchowk Gaunpalika,524 4 36 4 005,40107,842,1832,69,110,122,216,16,27,330,549,5,18,126,196,19,52,50,476,54,109,51,79
Gorkha,Sulikot Gaunpalika,524 4 36 4 003,40103,834,1640,76,109,81,142,24,52,368,529,6,19,76,126,9,17,51,408,58,115,85,123
Gulmi,Chandrakot Gaunpalika,524 5 51 4 006,50403,756,1886,2,5,111,218,3,16,335,676,6,13,101,199,16,68,44,490,67,118,71,83
Gulmi,Chhatrakot Gaunpalika,524 5 51 4 007,50411,656,1544,41,80,96,197,1,2,273,448,7,41,88,150,11,34,47,436,31,73,61,83
Gulmi,Dhurkot Gaunpalika,524 5 51 4 003,50408,543,1254,43,76,66,88,6,15,241,369,3,16,43,85,15,25,53,427,22,73,51,80
Gulmi,Gulmi Durbar Gaunpaika,524 5 51 4 005,50410,640,1460,40,67,83,130,1,5,301,503,8,22,79,143,13,30,41,428,28,66,46,66
Gulmi,Isma Gaunpalika,524 5 51 4 004,50405,606,1307,50,58,65,99,4,17,272,431,5,15,54,113,5,8,47,395,29,63,75,108
Gulmi,Kali Gandaki Gaunpalika,524 5 51 4 010,40911,540,1138,55,70,52,85,5,6,197,316,6,20,40,103,6,22,42,332,45,84,92,100
Gulmi,Madane Gaunpalika,524 5 51 4 001,50407,672,1415,86,119,82,107,5,13,254,382,1,5,53,100,8,15,52,388,55,161,76,125
Gulmi,Malika Gaunpalika,524 5 51 4 002,40404,695,1489,52,61,89,128,24,31,298,522,6,23,53,100,12,21,59,450,20,60,82,93
Gulmi,Musikot Municipality,524 5 51 3 001,50404,956,2472,57,143,161,251,13,60,376,667,9,25,104,211,12,50,80,738,37,115,107,212
Gulmi,Resunga Municipality,524 5 51 3 002,50409,1864,5060,51,110,210,500,29,102,863,1561,15,102,268,635,56,302,60,832,51,207,261,709
Gulmi,Ruru Gaunpalika,524 5 51 4 008,50412,931,2299,70,124,98,285,6,29,316,627,10,29,129,300,51,96,55,497,56,96,140,216
Gulmi,Satyawoti Gaunpalika,524 5 51 4 009,50402,689,1552,10,33,92,180,0,0,305,468,4,5,103,195,7,17,47,476,37,81,84,97
Humla,Adanchuli Gaunpalika,524 6 66 4 007,60306,276,1311,16,70,66,148,2,8,97,244,2,18,29,66,10,183,24,164,23,335,7,75
Humla,Chankheli Gaunpalika,524 6 66 4 005,60301,311,586,10,16,129,142,0,0,104,176,0,0,28,57,1,2,22,145,9,39,8,9
Humla,Kharpunath Gaunpalika,524 6 66 4 003,60302,293,607,5,8,128,215,3,4,75,107,0,0,45,82,1,1,16,133,15,44,5,13
Humla,Namkha Gaunpalika,524 6 66 4 001,60304,182,426,0,0,24,33,5,6,21,40,3,3,94,214,1,1,16,73,5,23,13,33
Humla,Sarkegad Gaunpalika,524 6 66 4 004,60305,263,712,0,0,101,221,2,4,75,130,1,3,35,74,3,10,28,194,15,72,3,4
Humla,Simkot Gaunpalika,524 6 66 4 002,60303,540,1575,9,16,116,194,6,80,200,343,6,111,103,236,12,44,23,233,13,79,52,239
Humla,Tanjakot Gaunpalika,524 6 66 4 006,60307,151,522,10,60,33,66,1,1,65,178,0,0,15,44,1,1,17,142,4,19,5,11
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,447,1198,25,83,26,63,5,22,250,505,1,5,49,109,7,26,28,300,22,39,34,46
Ilam,Deumai Municipality,524 1 03 3 001,11004,988,2742,31,108,196,500,0,0,489,981,5,19,101,237,16,64,57,631,24,85,69,117
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,608,1579,19,51,162,299,5,21,252,446,2,7,56,84,5,25,52,434,12,44,43,168
Ilam,Illam Municipality,524 1 03 3 002,11003,2757,7790,35,120,315,973,15,499,1378,2208,14,80,533,1113,73,337,103,1485,59,334,232,641
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,552,1417,17,285,137,222,2,41,233,303,3,7,48,87,19,38,46,332,10,39,37,63
Ilam,Mai Municipality,524 1 03 3 004,11008,798,2156,29,420,100,150,2,60,437,648,3,6,82,132,7,37,60,472,13,37,65,194
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,413,1314,9,146,57,96,2,4,221,431,3,23,51,112,1,5,36,295,9,26,24,176
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,392,926,6,44,14,28,0,0,236,327,4,15,75,156,2,6,31,284,6,32,18,34
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,467,1122,13,48,104,195,1,56,213,340,2,10,58,147,4,7,31,234,14,36,27,49
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,2239,6560,41,223,198,1450,6,36,1246,2116,14,87,411,835,37,180,95,1067,30,137,161,429
Jajarkot,Barekot Gaunpalika,524 6 60 4 003,60701,394,764,19,21,29,32,5,18,236,237,1,9,37,38,0,0,55,351,10,54,2,4
Jajarkot,Bheri Malika Municipality,524 6 60 3 002,60706,1036,2736,58,84,84,203,14,45,531,885,7,46,126,288,36,158,69,582,14,81,97,364
Jajarkot,Chhedagad Municipality,524 6 60 3 001,60704,623,1760,48,57,27,63,0,0,350,727,1,6,78,180,1,6,87,626,9,58,22,37
Jajarkot,Junichande Gaunpalika,524 6 60 4 001,60703,270,710,30,39,11,17,0,0,152,268,2,6,7,16,0,0,55,321,6,34,7,9
Jajarkot,Kuse Gaunpalika,524 6 60 4 002,60702,243,697,24,24,9,23,2,15,144,237,2,7,8,17,1,9,41,306,8,40,4,19
Jajarkot,Shivalaya Gaunpalika,524 6 60 4 004,60705,314,740,22,46,16,35,0,0,174,263,3,8,39,75,3,6,44,271,5,26,8,10
Jajarkot,Tribeni Nalagad Municipality,524 6 60 3 003,60707,436,1087,31,38,32,49,4,14,208,376,3,3,74,168,0,0,65,367,9,50,10,22
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,2589,6521,37,126,262,932,9,103,1552,2654,6,23,405,885,16,72,65,1074,36,172,201,480
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,1038,3682,23,150,150,798,2,24,566,862,4,15,136,259,12,69,36,534,13,43,96,928
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,3125,11538,10,150,327,1798,7,202,1668,3092,13,275,581,1356,65,1878,84,1715,45,409,325,663
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,6514,22902,49,280,642,4119,15,311,3885,8554,59,299,1095,2714,90,811,113,2595,80,1966,486,1253
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,1961,4403,20,85,244,752,14,61,1154,1735,4,17,263,449,28,149,51,787,25,102,158,266
Jhapa,Damak Municipality,524 1 04 3 001,11107,5891,19402,42,295,658,2582,12,201,3287,7295,30,819,939,2430,147,963,139,2367,76,1084,561,1366
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,1842,4687,28,104,244,805,3,39,1103,1886,5,24,198,452,28,137,65,900,27,89,141,251
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,1017,2461,7,29,109,299,1,4,587,1075,0,0,145,309,9,41,39,481,10,49,110,174
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,1064,3338,25,325,119,930,0,0,613,986,4,13,165,278,11,61,39,588,11,36,77,121
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,867,1963,19,62,110,314,0,0,460,740,3,9,122,214,10,47,44,400,23,54,76,123
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,1121,4164,13,996,155,999,1,9,659,962,5,18,115,218,14,68,56,655,14,64,89,175
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,1359,3547,26,138,164,611,1,4,746,1255,5,19,222,403,17,103,46,748,21,49,111,217
Jhapa,Kankai Municipality,524 1 04 3 003,11104,2301,5645,22,130,238,796,5,42,1421,2247,8,34,304,683,35,194,48,935,23,123,197,461
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,5886,17023,90,1093,600,4028,21,118,3365,5716,22,230,1058,2085,87,380,119,2104,67,310,457,959
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,2214,5561,25,116,296,688,2,15,1264,2186,8,40,297,643,35,183,74,1271,30,104,183,315
Jumla,Chandannath Municipality,524 6 63 3 001,60404,1058,3147,18,75,67,156,8,41,625,1142,11,85,174,401,32,150,28,533,13,232,82,332
Jumla,Guthichaur Gaunpalika,524 6 63 4 007,60405,210,501,11,17,6,13,0,0,139,263,0,0,23,48,3,6,10,114,10,32,8,8
Jumla,Hima Gaunpalika,524 6 63 4 004,60408,211,571,7,7,4,7,1,3,123,240,1,1,43,90,2,2,22,185,5,33,3,3
Jumla,Kanaka Sundari Gaun Palika,524 6 63 4 001,60402,374,874,28,40,16,31,0,0,155,278,2,7,74,167,7,8,29,221,34,82,29,40
Jumla,Patarasi Gaunpalika,524 6 63 4 003,60401,308,821,18,48,4,14,8,24,193,371,1,4,31,48,4,4,23,243,9,42,17,23
Jumla,Sinja Gaunpalika,524 6 63 4 002,60403,292,810,16,30,15,32,2,4,133,300,2,7,30,88,18,31,26,236,6,26,44,56
Jumla,Tatopani Gaunpalika,524 6 63 4 006,60406,267,813,6,6,5,16,1,3,194,411,0,0,18,40,2,2,28,273,7,40,6,22
Jumla,Tila Gaunpalika,524 6 63 4 005,60407,358,926,2,3,24,37,0,0,213,427,0,0,39,94,8,17,33,254,19,50,20,44
Kailali,Bardagoriya Gaunpalika,524 7 71 4 005,70806,602,1509,1,7,55,146,2,2,370,729,1,4,72,180,7,51,27,270,9,33,58,87
Kailali,Bhajani Municipality,524 7 71 3 004,70811,767,1863,5,14,73,191,1,5,453,813,4,17,110,212,9,52,30,416,11,37,71,106
Kailali,Chure Gaunpalika,524 7 71 4 001,70802,396,1204,17,43,31,76,1,1,176,393,3,9,113,340,1,2,33,266,7,42,14,32
Kailali,Dhangadhi Sub-Metropolitian City,524 7 71 2 001,70813,6089,22909,27,159,650,3585,25,389,3579,8507,34,311,895,2640,93,1316,191,3493,87,842,508,1667
Kailali,Gauriganga Municipality,524 7 71 3 002,70804,1296,2578,6,14,168,330,3,15,762,1116,2,4,156,245,13,43,44,567,25,69,117,175
Kailali,Ghodaghodi Municipality,524 7 71 3 003,70805,1576,4081,25,55,144,331,7,51,906,1612,6,37,204,395,17,119,91,1146,37,123,139,212
Kailali,Godawari Municipality,524 7 71 3 001,30803,2681,8531,46,319,305,1729,9,71,1539,2997,15,130,428,1045,34,214,77,1188,32,335,196,503
Kailali,Janaki Gaunpalika,524 7 71 4 006,51105,878,2516,17,36,96,622,13,43,495,846,1,3,102,205,7,25,50,560,17,61,80,115
Kailali,Joshipur Gaunpalika,524 7 71 4 004,70809,817,2535,9,28,75,616,2,14,510,982,1,3,75,164,11,50,47,526,22,63,65,89
Kailali,Kailari Gaunpalika,524 7 71 4 002,70812,983,2542,34,63,87,623,0,0,530,816,3,5,124,204,11,50,51,486,27,102,116,193
Kailali,Lamki Chuha Municipality,524 7 71 3 006,70807,2062,6476,12,57,213,1458,15,135,1217,2387,5,38,319,784,15,301,63,886,36,137,167,293
Kailali,Mohanyal Gaunpalika,524 7 71 4 003,70801,295,802,15,19,20,41,0,0,169,322,0,0,40,82,1,4,39,297,5,29,6,8
Kailali,Tikapur Municipality,524 7 71 3 005,70810,3102,9207,35,194,391,1418,6,112,1734,3468,9,73,336,823,66,424,103,1594,132,497,290,604
Kalikot,Kalika Gaunpalika,524 6 64 4 005,30304,352,817,29,54,91,179,9,10,146,262,0,0,26,51,2,4,34,209,12,41,3,7
Kalikot,Khandachakra Municipality,524 6 64 3 002,60506,853,2347,37,51,71,165,36,83,394,735,6,45,193,433,13,63,45,391,10,51,48,330
Kalikot,Mahawai Gaunpalika,524 6 64 4 006,60508,189,454,16,19,36,63,3,5,81,134,0,0,22,49,0,0,25,144,5,36,1,4
Kalikot,Naraharinath Gaunpalika,524 6 64 4 001,60505,410,1028,20,38,46,75,3,43,247,384,2,4,30,55,0,0,44,367,12,50,6,12
Kalikot,Pachal Jharana Gaunpalika,524 6 64 4 003,60502,289,788,22,43,62,128,1,16,141,258,0,0,25,60,0,0,26,216,11,48,1,19
Kalikot,Palata Gaunpalika,524 6 64 4 004,60501,310,905,34,104,75,156,6,20,140,330,2,5,4,9,1,5,33,208,9,40,6,28
Kalikot,Raskot Municipality,524 6 64 3 001,60503,413,968,30,63,73,132,10,11,228,410,1,3,20,43,2,9,31,230,8,38,10,29
Kalikot,Sanni Tribeni Gaunpalika,524 6 64 4 002,60504,279,846,20,68,56,137,3,37,149,305,0,0,14,26,0,0,28,238,4,26,5,9
Kalikot,Tilagupha Municipality,524 6 64 3 003,60507,440,1047,36,48,40,82,28,41,169,312,2,3,80,174,7,16,44,296,11,45,23,30
Kanchanpur,Bedkot Municipality,524 7 72 3 003,70903,1033,3211,23,82,131,875,16,56,608,1132,1,8,110,200,4,18,45,679,7,24,88,137
Kanchanpur,Beldandi Gaunpalika,524 7 72 3 006,70908,422,933,0,0,52,107,0,0,257,353,0,0,32,52,7,31,25,325,8,16,41,49
