Districts,Palika,HLCIT_CODE,cbs code,Total_PE,Agriculture_PE,Manufacturing_PE,Construction_PE,Wholesales_PE,Transportations_PE,Accommodations_PE,Financial_PE,Education_PE,Social_Work_PE,Real_Eastate_PE
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,6750,79,549,339,2827,112,785,826,834,221,178
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,1809,28,238,0,999,0,150,11,232,37,114
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,2656,204,186,4,704,7,107,344,587,8,505
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,3790,89,1013,14,1489,20,235,0,605,92,233
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,4261,14,687,71,1545,20,397,131,825,144,427
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,2043,2,220,0,1090,1,188,64,255,41,182
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,461,0,35,0,222,0,16,2,159,0,27
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,2267,116,610,1,799,2,165,13,282,67,212
Mahottari,Matihani Municipality,524 2 18 3 010,20414,2098,0,475,0,833,3,141,113,377,23,133
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,1382,11,111,0,701,0,125,30,216,22,166
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,3056,30,1230,1,1125,4,164,44,309,50,99
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,1284,5,156,0,606,0,137,45,126,112,97
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,1617,6,466,0,843,2,45,28,139,40,48
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,1333,23,185,13,517,6,115,31,365,32,46
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,1903,142,233,37,661,12,111,29,533,56,89
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,1419,36,72,152,354,3,239,61,380,53,69
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,31588,481,7959,1242,9634,690,3347,1114,3572,1165,2384
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,1066,28,57,68,297,5,340,35,180,31,25
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,855,25,85,16,259,0,82,26,262,27,73
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,1456,176,197,136,352,5,103,34,362,39,52
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,2968,162,315,112,1259,6,420,94,468,50,82
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,740,34,74,0,222,0,64,5,279,23,39
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,3254,95,441,143,786,38,666,212,637,65,171
Manang,Chame Gaunpalika,524 4 38 4 003,40203,450,12,7,18,55,13,180,46,61,23,35
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,104,0,4,10,0,0,58,0,11,13,8
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,473,27,1,12,25,0,276,0,106,20,6
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,668,71,3,5,19,12,425,4,69,39,21
Morang,Belbari Municipality,524 1 05 3 003,11205,6196,59,600,10,2825,19,741,209,1237,218,278
Morang,Biratnagar Metropolitian City,524 1 05 1 001,11214,46796,97,10005,495,13022,1062,4991,2043,6732,5254,3095
Morang,Budhiganga Gaunpalika,524 1 05 4 004,11213,12773,164,8979,244,1574,65,477,168,617,338,147
Morang,Dhanapalthan Gaunpalika,524 1 05 4 008,11216,5779,154,3759,0,920,11,262,49,453,72,99
Morang,Gramthan Gaunpalika,524 1 05 4 005,11212,3564,43,815,21,1112,24,266,183,792,112,196
Morang,Jahada Gaunpalika,524 1 05 4 007,11217,1618,35,180,0,747,0,138,18,371,51,78
Morang,Kanepokhari Gaunpalika,524 1 05 4 003,11206,2970,40,389,0,1369,4,367,79,565,33,124
Morang,Katahari Gaunpalika,524 1 05 4 006,11215,6004,67,3551,147,1096,1,231,379,382,25,125
Morang,Kerabari Gaunpalika,524 1 05 4 001,11203,2200,19,198,97,879,24,184,121,547,61,70
Morang,Letang Municipality,524 1 05 3 001,11202,3146,60,339,140,1204,11,432,110,650,57,143
Morang,Miklajung Gaunpalika,524 1 05 4 002,10908,2009,31,182,22,836,0,210,30,589,45,64
Morang,Pathari Shanishchare Municipality,524 1 05 3 004,11207,6122,74,894,0,2778,46,769,173,884,212,292
Morang,Rangeli Municipality,524 1 05 3 006,11211,6049,315,2712,84,1492,8,392,131,568,149,198
Morang,Ratuwamai Municipality,524 1 05 3 008,11209,4036,21,796,12,1512,14,470,117,792,50,252
Morang,Sundarharaicha Municipality,524 1 05 3 002,11204,9016,138,1712,141,3375,54,1129,262,1626,170,409
Morang,Sunwarshi Municipality,524 1 05 3 007,11210,2130,18,268,7,954,9,318,29,367,36,124
Morang,Urlabari Municipality,524 1 05 3 005,11208,7479,152,1120,20,3282,58,909,283,1040,250,365
Mugu,Chhayanath Rara Municipality,524 6 65 3 001,60202,2725,67,101,27,719,48,536,364,342,128,393
Mugu,Khatyad Gaunpalika,524 6 65 4 001,60204,1882,50,41,7,252,5,153,576,318,344,136
Mugu,Mugumakarmarog Gaunpalika,524 6 65 4 003,60201,372,2,18,2,31,1,136,0,90,29,63
Mugu,Soru Gaunpalika,524 6 65 4 002,60203,870,2,41,7,359,5,86,5,244,41,80
Mustang,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,563,2,8,0,28,9,358,6,85,22,45
Mustang,Dalome Gaunpalika,524 4 45 4 002,40301,234,18,11,0,34,10,112,0,32,15,2
Mustang,Gharpajhong Gaunpalika,524 4 45 4 004,40302,1354,0,90,510,130,10,295,94,131,48,46
Mustang,Lomanthang Gaunpalika,524 4 45 4 001,40304,266,0,20,0,50,5,140,0,33,9,9
Mustang,Thasang Gaunpalika,524 4 45 4 005,40305,689,4,28,0,155,8,254,4,189,22,25
Myagdi,Annapurna Gaunpalika,524 4 44 4 003,40401,2296,127,147,401,480,29,508,59,342,147,56
Myagdi,Beni Municipality,524 4 44 3 001,40406,7261,722,693,75,2125,292,588,366,1046,651,703
Myagdi,Dhawalagiri Gaunpalika,524 4 44 4 001,40403,2044,228,373,124,489,73,161,88,273,92,143
Myagdi,Malika Gaunpalika,524 4 44 4 004,40404,1917,99,266,46,588,12,120,248,358,124,56
Myagdi,Mangala Gaunpalika,524 4 44 4 005,40405,1559,166,218,12,459,13,54,80,386,115,56
Myagdi,Raghuganga Gaunpalika,524 4 44 4 002,40402,1575,253,165,20,406,15,93,38,293,201,91
Nawalparasi West,Bardaghat Municipality,524 5 76 3 002,50701,15256,201,1860,76,2583,67,666,6674,993,1505,631
Nawalparasi East,Binayi Tribeni Gaunpalika,524 4 47 4 004,40808,3127,50,389,151,1078,21,673,61,555,71,78
Nawalparasi East,Bulingtar Gaunpalika,524 4 47 4 002,40802,1135,10,52,38,461,25,39,32,328,89,61
Nawalparasi East,Bungdikali Gaunpalika,524 4 47 4 001,40803,1153,47,80,58,368,8,54,66,331,79,62
Nawalparasi East,Devchuli Municipality,524 4 47 3 003,40805,6553,107,1904,162,2182,28,671,163,1010,164,162
Nawalparasi East,Gaidakot Municipality,524 4 47 3 004,40801,9937,507,2339,96,2805,106,1170,614,1701,172,427
Nawalparasi East,Hupsekot Gaunpalika,524 4 47 4 003,40804,1832,140,171,25,685,7,121,56,521,49,57
Nawalparasi East,Kawasoti Municipality,524 4 47 3 002,40806,10207,224,2212,150,3640,70,1186,317,1367,439,602
Nawalparasi East,Madhya Bindu Municipality,524 4 47 3 001,40807,4452,128,1162,32,1536,28,419,118,859,67,103
Nawalparasi West,Palhinandan Gaunpalika,524 5 76 4 001,50704,1776,11,190,13,778,2,212,14,390,40,126
Nawalparasi West,Pratapapur Gaunpalika,524 5 76 4 003,50706,3225,68,510,67,1458,6,277,80,555,74,130
Nawalparasi West,Ramgram Municipality,524 5 76 3 003,50703,8105,118,2374,118,2689,519,631,190,883,178,405
Nawalparasi West,Sarawal Gaunpalika,524 5 76 4 002,50705,3242,38,1572,0,895,1,216,14,322,72,112
Nawalparasi West,Sunawal Municipality,524 5 76 3 001,50702,8736,200,2463,149,2765,134,890,301,1449,61,324
Nawalparasi West,Susta Gaunpalika,524 5 76 4 004,50707,3526,34,951,8,885,9,176,911,417,42,93
Nuwakot,Belkotgadhi Municipality,524 3 28 3 002,30508,5069,357,2106,265,815,43,227,200,667,151,238
Nuwakot,Bidur Municipality,524 3 28 3 001,30504,10480,397,1460,296,3089,171,1430,755,1650,229,1003
Nuwakot,Dupcheshwor Gaunpalika,524 3 28 4 008,30501,1994,146,219,38,427,3,195,53,341,260,312
Nuwakot,Kakani Gaunpalika,524 3 28 4 009,30512,1958,379,160,21,392,8,240,105,424,69,160
Nuwakot,Kispang Gaunpalika,524 3 28 4 002,30505,1090,169,111,0,247,0,103,16,242,67,135
Nuwakot,Likhu Gaunpalika,524 3 28 4 006,10405,1833,237,229,70,627,2,150,62,288,54,114
Nuwakot,Meghang Gaunpalika,524 3 28 4 001,30506,1404,176,127,14,270,2,96,32,247,49,391
Nuwakot,Panchakanya Gaunpalika,524 3 28 4 007,30510,1012,64,207,54,283,4,39,29,235,36,61
Nuwakot,Shivapuri Gaunpalika,524 3 28 4 010,30511,1134,203,65,7,218,31,113,27,349,76,45
Nuwakot,Suryagadhi Gaunpalika,524 3 28 4 004,30503,1425,285,102,33,329,0,76,113,297,39,151
Nuwakot,Tadi Gaunpalika,524 3 28 4 005,30502,1614,153,172,81,394,1,134,68,332,81,198
Nuwakot,Tarakeshwor Gaunpalika,524 3 28 4 003,30507,1116,92,138,0,285,14,75,34,280,74,124
Okhaldhunga,Champadevi Gaunpalika,524 1 13 4 004,10406,734,5,16,0,247,21,63,4,316,60,2
Okhaldhunga,Chishankhu Gadhi Gaunpalika,524 1 13 4 006,10401,4163,1975,78,0,454,24,48,4,326,605,649
Okhaldhunga,Khiji Demba Gaunpalika,524 1 13 4 001,10404,4470,1044,72,125,419,23,138,117,275,870,1387
Okhaldhunga,Likhu Gaunpalika,524 1 13 4 002,10405,1154,19,61,35,331,12,34,60,238,146,218
Okhaldhunga,Manebhanjyang Gaunpalika,524 1 13 4 007,10408,1634,189,81,12,521,15,138,78,392,81,127
Okhaldhunga,Molung Gaunpalika,524 1 13 4 003,10403,2914,123,183,125,435,10,130,597,350,490,471
Okhaldhunga,Siddhicharan Municipality,524 1 13 3 001,10402,5622,267,252,131,1389,104,433,867,702,450,1027
Okhaldhunga,Sunkoshi Gaunpalika,524 1 13 4 005,10407,1340,133,51,3,405,16,76,78,347,145,86
Palpa,Baganaskali Gaunpalika,524 5 46 4 005,50604,1812,99,147,12,560,8,215,41,465,138,127
Palpa,Mathagadhi Gaunpalika,524 5 46 4 004,50609,1499,30,205,19,596,3,117,35,420,46,28
Palpa,Nisdi Gaunpalika,524 5 46 4 008,50610,1464,122,65,12,531,10,159,6,503,40,16
Palpa,Purbakhola Gaunpalika,524 5 46 4 006,50602,1325,44,107,4,477,5,151,13,439,62,23
Palpa,Rainadevi Chhahara Gaunpalika,524 5 46 4 001,50607,1215,42,90,0,471,3,125,21,434,21,8
Palpa,Rambha Gaunpalika,524 5 46 4 007,50603,1560,62,134,16,568,8,165,67,407,83,50
Palpa,Rampur Municipality,524 5 46 3 002,50601,4020,65,590,14,1539,53,420,189,903,151,96
Palpa,Ribdikot Gaunpalika,524 5 46 4 003,50606,1696,110,108,12,615,8,214,55,434,72,68
Palpa,Tansen Municipality,524 5 46 3 001,50605,8891,153,738,172,2678,174,1369,347,1580,1303,377
Palpa,Tinau Gaunpalika,524 5 46 4 002,50608,1420,104,55,0,428,6,324,27,368,74,34
Panchthar,Falelung Gaunpalika,524 1 02 4 003,10903,1583,51,169,94,485,12,23,37,406,55,251
Panchthar,Falgunanda Gaunpalika,524 1 02 4 005,10905,1264,14,124,7,420,14,118,34,453,48,32
Panchthar,Hilihan Gaunpalika,524 1 02 4 001,10902,1222,16,145,32,373,3,131,22,375,51,74
Panchthar,Kummayak Gaunpalika,524 1 02 4 004,10906,929,56,66,11,268,14,68,49,314,46,37
Panchthar,Miklajung Gaunpalika,524 1 02 4 007,10908,1777,29,179,4,632,29,163,51,536,63,91
Panchthar,Phidim Municipality,524 1 02 3 001,10904,4841,184,548,229,1513,200,601,251,883,170,262
Panchthar,Tumbewa Gaunpalika,524 1 02 4 006,10907,634,14,57,1,183,2,29,3,281,36,28
Panchthar,Yangbarak Gaunpalika,524 1 02 4 002,10107,1284,15,124,56,511,21,51,60,366,41,39
Parbat,Bihadi Gaunpalika,524 4 42 4 003,41006,863,12,46,3,267,32,106,6,336,37,18
Parbat,Jaljala Gaunpalika,524 4 42 4 001,41002,2457,211,342,89,889,18,226,29,466,95,92
Parbat,Kushma Municipality,524 4 42 3 001,41003,4046,146,484,42,1323,64,486,316,903,135,147
Parbat,Mahashila Gaunpalika,524 4 42 4 004,41005,606,12,18,9,171,8,61,10,251,51,15
Parbat,Modi Gaunpalika,524 4 42 4 002,41001,1803,78,191,18,592,23,145,45,559,74,78
Parbat,Paiyu Gaunpalika,524 4 42 4 005,41007,1416,68,146,4,488,14,135,53,413,47,48
Parbat,Phalebas Municipality,524 4 42 3 002,41004,1792,62,174,31,490,42,169,66,606,94,58
Parsa,Bahudarmai Municipality,524 2 34 3 002,20808,2010,45,282,0,728,9,85,60,319,314,168
Parsa,Bindabasini Gaunpalika,524 2 34 4 010,20814,1054,48,154,0,497,5,70,20,201,19,40
Parsa,Birgunj Metropolitian City,524 2 34 1 001,20807,32910,31,6408,221,12043,636,2657,1413,4146,3061,2294
Parsa,Chhipaharmai Gaunpalika,524 2 34 4 007,20812,884,4,82,0,452,14,54,7,164,44,63
Parsa,Dhobini Gaunpalika,524 2 34 4 006,20811,717,28,121,22,305,6,30,23,127,31,24
Parsa,Jagarnathpur Gaunpalika,524 2 34 4 005,20803,1325,24,637,4,437,5,48,1,119,33,17
Parsa,Jirabhawani Gaunpalika,524 2 34 4 002,20802,949,3,127,0,461,10,71,40,155,36,46
Parsa,Kalikamai Gaunpalika,524 2 34 4 008,20810,456,36,22,6,192,5,14,5,115,17,44
Parsa,Pakaha Mainpur Gaunpalika,524 2 34 4 009,20813,780,47,96,0,344,15,31,5,146,27,69
Parsa,Parsagadhi Municipality,524 2 34 3 003,20806,2728,19,593,349,925,54,153,116,334,92,93
Parsa,Paterwa Sugauli Gaunpalika,524 2 34 4 003,20804,797,0,104,0,458,3,46,16,125,12,33
Parsa,Pokhariya Municipality,524 2 34 3 001,20809,2086,9,449,5,852,10,111,89,262,100,199
Parsa,Sakhuwa Prasauni Gaunpalika,524 2 34 4 004,20805,2029,37,381,0,1055,1,163,18,231,29,114
Parsa,Thori Gaunpalika,524 2 34 4 001,20801,1385,24,156,6,575,11,188,59,289,30,47
Pyuthan,Aairawati Gaunpalika,524 5 55 4 007,50308,2621,546,255,138,899,16,167,32,357,50,161
Pyuthan,Gaumukhi Gaunpalika,524 5 55 4 002,50301,1680,471,71,94,368,18,75,45,360,47,131
Pyuthan,Jhimaruk Gaunpalika,524 5 55 4 003,50303,2392,491,110,128,636,8,92,150,484,37,256
Pyuthan,Mallarani Gaunpalika,524 5 55 4 005,50307,2228,290,99,128,496,229,125,101,472,47,241
Pyuthan,Mandavi Gaunpalika,524 5 55 4 004,50306,1518,271,54,107,386,20,154,137,262,50,77
Pyuthan,Naubahini Gaunpalika,524 5 55 4 001,50302,1738,337,79,23,597,11,95,28,409,64,95
Pyuthan,Pyuthan Municipality,524 5 55 3 002,50304,4771,532,288,168,1404,48,484,286,740,148,673
Pyuthan,Sarumarani Gaunpalika,524 5 55 4 006,50309,1620,471,137,59,413,7,128,27,253,21,104
Pyuthan,Sworgadwari Municipality,524 5 55 3 001,50305,2805,572,200,113,720,20,177,69,577,66,291
Ramechhap,Doramba Gaunpalika,524 3 21 4 002,31007,3692,1103,150,27,422,11,102,628,391,124,734
Ramechhap,Gokulganga Gaunpalika,524 3 21 4 003,31002,1705,268,149,53,377,3,208,190,354,46,57
Ramechhap,Khandadevi Gaunpalika,524 3 21 4 005,31006,2881,673,48,60,402,4,96,103,422,548,525
Ramechhap,Likhu Gaunpalika,524 3 21 4 006,10405,2597,529,119,43,510,10,147,281,367,98,493
Ramechhap,Manthali  Municipality,524 3 21 3 001,31005,4772,546,460,129,1227,31,461,587,769,235,327
Ramechhap,Ramechhap Municipality,524 3 21 3 002,31004,2716,566,119,38,510,17,170,377,485,272,162
Ramechhap,Sunapati Gaunpalika,524 3 21 4 001,31008,1981,635,283,18,304,16,55,134,314,67,155
Ramechhap,Umakunda Gaunpalika,524 3 21 4 004,31001,2474,225,116,380,423,14,188,421,284,129,294
Rasuwa,Gosaikunda Gaunpalika,524 3 29 4 002,30301,1419,3,46,106,207,26,759,89,90,47,46
Rasuwa,Kalika Gaunpalika,524 3 29 4 004,30304,948,50,75,10,325,9,182,25,185,22,65
Rasuwa,Naukunda Gaunpalika,524 3 29 4 005,30305,552,39,37,0,224,0,24,0,190,25,13
Rasuwa,Parbatikunda Gaunpalika,524 3 29 4 001,30302,598,32,3,172,97,6,65,2,105,34,82
Rasuwa,Uttargaya Gaunpalika,524 3 29 4 003,30303,657,32,68,12,201,4,65,49,183,21,22
Rautahat,Boudhimai Municipality,524 2 32 3 010,20611,1455,20,405,8,524,31,80,28,226,32,101
Rautahat,Brindaban Municipality,524 2 32 3 005,20605,2947,33,1801,1,649,21,42,9,179,39,173
Rautahat,Chandrapur Municipality,524 2 32 3 002,20601,9285,216,2355,136,3441,104,881,267,1119,246,520
Rautahat,Dewahi Gonahi Municipality,524 2 32 3 007,20609,559,0,46,0,295,4,15,0,145,25,29
Rautahat,Durga Bhagawati Gaunpalika,524 2 32 4 002,20615,736,0,68,2,350,9,44,10,171,39,43
Rautahat,Gadhimai Municipality,524 2 32 3 009,20606,1227,0,252,0,575,11,50,10,215,48,66
Rautahat,Garuda Municipality,524 2 32 3 008,20608,5377,100,1669,62,1972,62,258,146,564,170,374
Rautahat,Gaur Municipality,524 2 32 3 015,20617,3915,0,347,3,1475,372,338,177,598,273,332
Rautahat,Gujara Municipality,524 2 32 3 001,20602,3799,8,1181,27,846,13,89,7,383,41,1204
Rautahat,Ishanath Municipality,524 2 32 3 013,20618,1172,8,213,0,442,7,156,5,223,34,84
Rautahat,Katahariya Municipality,524 2 32 3 004,20604,3001,235,1338,8,756,17,100,88,261,69,129
Rautahat,Madhav Narayan Municipality,524 2 32 3 011,20607,1878,8,1074,0,403,12,52,2,229,54,44
Rautahat,Maulapur Municipality,524 2 32 3 006,20610,783,28,103,3,386,0,70,2,118,3,70
Rautahat,Paroha Municipality,524 2 32 3 012,20612,801,17,104,17,361,1,48,2,134,48,69
Rautahat,Phatuwa Bijayapur Municipality,524 2 32 3 003,20603,1603,33,118,0,625,6,80,10,168,114,449
Rautahat,Rajdevi Municipality,524 2 32 3 016,20616,703,20,52,0,311,0,19,0,227,25,49
Rautahat,Rajpur Municipality,524 2 32 3 014,20613,1386,15,220,1,619,1,150,6,139,48,187
Rautahat,Yamunamai Gaunpalika,524 2 32 4 001,20614,638,2,123,2,339,3,44,3,43,29,50
Rolpa,Duikholi Gaunpalika,524 5 54 4 002,50203,1144,171,37,0,328,25,70,2,347,18,146
Rolpa,Lungri Gaunpalika,524 5 54 4 008,50210,638,0,88,4,162,9,12,0,238,118,7
Rolpa,Madi Gaunpalika,524 5 54 4 004,10209,920,51,91,8,238,15,141,21,248,36,71
Rolpa,Rolpa Municipality,524 5 54 3 001,50207,3352,49,367,34,849,326,410,87,648,137,445
Rolpa,Runtigadhi Gaunpalika,524 5 54 4 009,50208,2561,9,148,0,370,43,135,702,434,690,30
Rolpa,Subarnabati Gaunpalika,524 5 54 4 001,50204,2079,38,353,2,661,14,239,79,399,194,100
Rolpa,Sukidaha Gaunpalika,524 5 54 4 005,50201,986,3,86,23,338,7,112,4,341,38,34
Rolpa,Sunchhahari Gaunpalika,524 5 54 4 007,50209,1930,333,137,5,266,5,57,14,219,619,275
Rolpa,Thawang Gaunpalika,524 5 54 4 003,50202,716,79,87,3,198,4,35,23,179,27,81
Rolpa,Tribeni Gaunpalika,524 5 54 4 006,50206,1130,10,69,2,326,1,114,5,369,195,39
Rukum West,Aathabisakot Municipality,524 6 52 3 001,60605,1395,29,86,5,565,6,173,27,409,42,53
Rukum West,Banphikot Gaunpalika,524 6 52 4 002,60803,876,24,36,13,269,10,60,3,389,48,24
Rukum East,Bhoome Gaunpalika,524 5 77 4 003,50103,745,6,17,7,283,11,62,3,291,46,19
Rukum West,Chaurjahari Municipality,524 6 52 3 002,60806,1642,6,164,16,527,16,184,60,491,139,39
Rukum West,Musikot Municipality,524 6 52 3 003,50404,4105,54,415,76,1221,113,472,198,864,177,515
Rukum East,Putha Uttanganga Gaunpalika,524 5 77 4 002,50101,712,0,13,15,244,8,39,2,317,46,28
