Indicator ,URL,Source ,Title ,Abstract,Category ,Year 
2011_iwi_std,https://globaldatalab.org/iwi/ and https://link.springer.com/article/10.1007%2Fs11205-014-0683-x#page-1.,Global Data Lab,2011 International Wealth Index (IWI) SD,"The International Wealth Index (IWI) for Nepal in 2011. The IWI is an internationally standardized wealth index which calculates wealth in terms of assets based on household surveys. This model extrapolated survey results in Nepal to non-surveyed areas based on phone records and top-up patterns, night lights, census data and other factors which were shown to have a proven relationship to observed household charactersitics in the available survey data.

The sum, mean and standard deviation is calculated for this index and the interdecile range (a measure of uncertainty).

Information on the IWI: https://globaldatalab.org/iwi/ and https://link.springer.com/article/10.1007%2Fs11205-014-0683-x#page-1.

All spatial data created by Claudio Bosco of of the WorldPop project. Full documentation available at: http://docs.aiddata.org/ad4/pdfs/wps49_Geostatistical_Tools_to_Map_the_Interaction_between_Development_Aid_and_Indices_of_Need--optimized.pdf",Welfare,2011
2011_wi_mn, https://globaldatalab.org/iwi/ and https://link.springer.com/article/10.1007%2Fs11205-014-0683-x#page-1.,Global Data Lab,2011 Mean Wealth Index (IWI),"The International Wealth Index (IWI) for Nepal in 2011. The IWI is an internationally standardized wealth index which calculates wealth in terms of assets based on household surveys. This model extrapolated survey results in Nepal to non-surveyed areas based on phone records and top-up patterns, night lights, census data and other factors which were shown to have a proven relationship to observed household charactersitics in the available survey data.

The sum, mean and standard deviation is calculated for this index and the interdecile range (a measure of uncertainty).

Information on the IWI: https://globaldatalab.org/iwi/ and https://link.springer.com/article/10.1007%2Fs11205-014-0683-x#page-1.

All spatial data created by Claudio Bosco of of the WorldPop project. Full documentation available at: http://docs.aiddata.org/ad4/pdfs/wps49_Geostatistical_Tools_to_Map_the_Interaction_between_Development_Aid_and_Indices_of_Need--optimized.pdf",Welfare,2011
agricultural_area,,ICIMOD,Agricultural landcover 2010,Estimates of what percentage of the municipality was covered by this type of landcover in 2010. Generated by ICIMOD from analysis of satellite imagery.,Natural resources,2010
builtup_area,,ICIMOD,Builtup (urban) area landcover 2010,Estimates of what percentage of the municipality was covered by this type of landcover in 2010. Generated by ICIMOD from analysis of satellite imagery.,Natural resources,2010
fii_K0,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Low Kilocalorie Intake Prevalence,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_K1,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Low Kilocalorie Intake Gap,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_K2,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Low Kilocalorie Intake Severity,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_P0,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Food Poverty Prevalance,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_P1,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Food Poverty Gap,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_P2,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Food Poverty Severity,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_S2,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Stunting,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_S3,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Severe Stunting,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_U2,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Underweight,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_U3,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Severe Underweight,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_W2,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Wasting,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
fii_W3,https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.,"World Bank, WFP and CBS", Prevalence of Severe Wasting,"2014 estimates of food insecurity compiled by the World Bank, WFP and CBS, aggregated at the municipal level. The methodology for creating this data is described in this document: https://www.wfp.org/content/nepal-small-area-estimation-food-insecurity-and-undernutrition-december-2014.",Welfare,2014
Forest,,ICIMOD,Forest landcover 2010,Estimates of what percentage of the municipality was covered by this type of landcover in 2010. Generated by ICIMOD from analysis of satellite imagery.,Natural resources,2010
hf_per_person,, Ministry of Health,Health Facilities per person,The number of public and private health facilities per person in each municipality. Drawn from a dataset of all the health facilities in Nepal collected by the Ministry of Health in 2016.,Accessibility,2016
msn_allhf_avg,,"DOR/DOLIDAR, OpenStreetMap, WFP, ICIMOD","Travel Times to Medical Facilities, Monsoon Season","Average travel times to the nearest medical facility, calculated in hours, for monsoon season travel. This is calculated via a model of on-road and off-road travel speeds, modified by landcover, slope, altitude, road conditions and the season (monsoon or not). Of these inputs, roads data comes from DOR/DOLIDAR and OpenStreetMap, road speeds from WFP logisticians, landcover from ICIMOD and  Slope/Altitude from NASA. The full methodology is described in a forthcoming World Bank Working Research Paper.",Accessibility,(blank)
msnw_allhf_avg,,"DOR/DOLIDAR, OpenStreetMap, WFP, ICIMOD","Travel Times to Medical Facilities, Monsoon Season (Walking)","Average travel times to the nearest medical facility (walking), calculated in hours, for monsoon season travel. This is calculated via a model of on-road and off-road travel speeds, modified by landcover, slope, altitude, road conditions and the season (monsoon or not). Of these inputs, roads data comes from DOR/DOLIDAR and OpenStreetMap, road speeds from WFP logisticians, landcover from ICIMOD and  Slope/Altitude from NASA. The full methodology is described in a forthcoming World Bank Working Research Paper.",Accessibility,(blank)
nm_allhf_avg,,"DOR/DOLIDAR, OpenStreetMap, WFP, ICIMOD","Travel Times to Medical Facilities, Non-Monsoon Season","Average travel times to the nearest medical facility, calculated in hours, for non-monsoon season travel. This is calculated via a model of on-road and off-road travel speeds, modified by landcover, slope, altitude, road conditions and the season (monsoon or not). Of these inputs, roads data comes from DOR/DOLIDAR and OpenStreetMap, road speeds from WFP logisticians, landcover from ICIMOD and  Slope/Altitude from NASA. The full methodology is described in a forthcoming World Bank Working Research Paper.",Accessibility,(blank)
nmw_allhf_avg,,"DOR/DOLIDAR, OpenStreetMap, WFP, ICIMOD","Travel Times to Medical Facilities, Non-Monsoon Season (Walking)","Average travel times to the nearest medical facility (walking), calculated in hours, for non-monsoon season travel. This is calculated via a model of on-road and off-road travel speeds, modified by landcover, slope, altitude, road conditions and the season (monsoon or not). Of these inputs, roads data comes from DOR/DOLIDAR and OpenStreetMap, road speeds from WFP logisticians, landcover from ICIMOD and  Slope/Altitude from NASA. The full methodology is described in a forthcoming World Bank Working Research Paper.",Accessibility,(blank)
number_financial_institutions,https://emap.nrb.org.np/.,Nepal Rastra Bank (NRB),Financial Institutions in Nepal,The number of formal (Class A-D) financial institutions in each municipality. This dataset was collected in 2016-2017 by the Nepal Rastra Bank (NRB) with the support of the UN Capital Development Fund (UNCDF). The data may be explored in greater detail on the NRB EMapping System at https://emap.nrb.org.np/.,Infrastrucuture ,2017
number_hf,, Ministry of Health,Health Facilities,The number of public and private health facilities in each municipality. Drawn from a dataset of all the health facilities in Nepal collected by the Ministry of Health in 2016.,Infrastrucuture ,2016
pi_p0,,World Bank and CBS, Poverty IncidenceÂ ,"2011 estimates of poverty compiled by the World Bank and CBS, aggregated at the municipal level",Welfare,2011
pi_p1,,World Bank and CBS, Poverty GapÂ ,"2011 estimates of poverty compiled by the World Bank and CBS, aggregated at the municipal level",Welfare,2011
pi_p2,,World Bank and CBS, Squared Poverty Gap or Poverty SeverityÂ ,"2011 estimates of poverty compiled by the World Bank and CBS, aggregated at the municipal level",Welfare,2011
pop_20_v2,http://www.worldpop.org.uk/data/summary/?contselect=Asia&countselect=Nepal&typeselect=Population,WorldPop,Estimated Population (per municipality) 2020 Version 2.0,"This dataset shows the estimated population total for each municipality for 2020. All numbers, including past and present numbers, are estimations. These estimations are created through a mix of census data, population growth projections, mobile phone call records, remotely sensed (satellite) data, and inputs from the UN Population Division.
 
The full methodology for producing the dataset is described at http://www.worldpop.org.uk/data/WorldPop_data/AllContinents/NPL-POP_metadata.html. Additional information can be found in this paper: https://www.nature.com/articles/sdata20174. 
 
This data was produced by the WorldPop program (www.worldpop.org) at the University of Southampton and can be downloaded and/or examined in more detail here: http://www.worldpop.org.uk/data/summary/?contselect=Asia&countselect=Nepal&typeselect=Population",Demography,2015
pregnancies_mean,http://www.worldpop.org.uk/data/methods/ and https://ij-healthgeographics.biomedcentral.com/articles/10.1186/1476-072X-13-2.,WorldPop,Mean estimated pregnancies - 2020,"This dataset shows the estimated number of pregnancies across Nepal, aggregated by municipality. All numbers, including past and present numbers, are estimations. These estimations are created through a mix of remotely sensed (satellite) data, inputs from the Ministry of Health and inputs from the UN population division (UNFPA). 

We have calculated the mean, range and variance for each municipality.
 
The data was produced in May 2014. Each raster grid cell is approximately 100m at the equator. The full methodology for producing the dataset is described at http://www.worldpop.org.uk/data/methods/ and https://ij-healthgeographics.biomedcentral.com/articles/10.1186/1476-072X-13-2.
 
This data was produced by the WorldPop program (www.worldpop.org) at the University of Southampton and can be downloaded and/or examined in more detail here: http://www.worldpop.org.uk/data/summary/?contselect=Asia&countselect=Nepal&typeselect=Population. Please note the data is a rough estimate and errors or inconsistencies in some areas are to be expected",Demography,2020
nu_of_p_m,https://cbs.gov.np/province-level-output-tables/,CBS,Population-Male Population,"Population disaggregated to municipal level according to a new federal structure, census 2011",Demography,2011
nu_of_p_f,https://cbs.gov.np/province-level-output-tables/,CBS,Population-Female Population,"Population disaggregated to municipal level according to a new federal structure, census 2011",Demography,2011
nu_of_sex_r,https://cbs.gov.np/province-level-output-tables/,CBS,Population-Sex Ratio,"Population disaggregated to municipal level according to a new federal structure, census 2011",Demography,2011
,https://cbs.gov.np/province-level-output-tables/,CBS,Population density,"Population divided by area at municipal level, census 2011",Demography,2011
,https://www.np.undp.org/content/nepal/en/home/library/Nepal-Human-Development-Report-2020.html,UNDP,Human Development Index (HDI),"The HDI is a summary measure assessing long-term progress in three basic dimensions of human development—a long and healthy life, access to knowledge and a decent standard of living.",Development ,2019
,https://www.np.undp.org/content/nepal/en/home/library/Nepal-Human-Development-Report-2020.html,UNDP,The Inequality-adjusted HDI (IHDI),"The Inequality-adjusted HDI (IHDI) looks beyond a country’s average achievements in the three dimensions of the HDI by ‘discounting’ each dimension’s average value according
to its level of inequality to show how these achievements are distributed among different parts of the population. The IHDI is equal to the HDI if there is no inequality among people, but is less than the HDI if inequality is present. The difference between the HDI and IHDI, expressed as a percentage, measures the loss in potential human development due
to inequality.",Development ,2019
,https://www.np.undp.org/content/nepal/en/home/library/Nepal-Human-Development-Report-2020.html,UNDP,Gender Development Index (GDI),"The GDI provides insights into gender disparities in the achievement in the three basic
dimensions of human development. It is useful for designing and monitoring policies to
close gender gaps. It calculates the femaleto-male HDI ratio based on separate values
for females and males, and using the same
methodology as the HDI. The greater the value of the GDI, the lower the gender disparity
in human development.",Development ,2019
,https://www.np.undp.org/content/nepal/en/home/library/Nepal-Human-Development-Report-2020.html,UNDP,Gender Inequality Index (GII),"GII was introduced to capture women’s disadvantages in three dimensions: reproductive health, empowerment and economic activity. Reproductive health
is measured by maternal mortality and adolescent fertility rates; empowerment by the share of parliamentary seats held by each gender, and attainment levels in secondary and higher education by each gender; and economic activity by the labour market participation rate for each sex.",Development ,2019
,https://www.npc.gov.np/images/category/Nepal_MPI.pdf,NPC ,The Multidimensional Poverty Index (MPI),"The Multidimensional Poverty Index (MPI) identifies multiple deprivations at the household and individual level in health, education and standard of living. It uses micro data from household surveys, and—unlike the Inequality-adjusted Human Development Index—all the indicators needed to construct the measure must come from the same survey. ",Development ,2018
,https://opendatanepal.com/dataset/life-expectancy-income-of-nepal-by-district/resource/208787f8-07f0-4e22-a526-25f9d0e9b538,CBS,Life expectancies ,,Welfare,
,,CBS,Per capita income,,Welfare,
,https://cbs.gov.np/wp-content/upLoads/2020/05/PGDP_2076_77_CBS_Nepal.xlsx,"National Economic Census 2018, CBS",Provincial Gross Value Added by Industrial Division,"at current prices, RS in millions 

Nepal Standard Industrial Classification (NSIC) has been developed on the basis of
International Standard Industrial Classification (ISIC), Rev.4 of all economic activities which classify 21 broad sections (United Nations, 2008). The information on economic activities is collected, tabulated on the basis of NSIC. This report reveals the results of economic census 2018 based on the NSIC broad classifications.",Development ,2018
,https://cbs.gov.np/wp-content/upLoads/2020/05/PGDP_2076_77_CBS_Nepal.xlsx,"National Economic Census 2018, CBS",Composition of Gross Domestics Product by Province,"at current prices, RS in millions 

Nepal Standard Industrial Classification (NSIC) has been developed on the basis of
International Standard Industrial Classification (ISIC), Rev.4 of all economic activities which classify 21 broad sections (United Nations, 2008). The information on economic activities is collected, tabulated on the basis of NSIC. This report reveals the results of economic census 2018 based on the NSIC broad classifications.",Development ,2018
,https://cbs.gov.np/wp-content/upLoads/2020/05/PGDP_2076_77_CBS_Nepal.xlsx,"National Economic Census 2018, CBS",Composition of Gross Domestics Product by Industrial Division at Province Level,"at current prices, RS in millions 

Nepal Standard Industrial Classification (NSIC) has been developed on the basis of
International Standard Industrial Classification (ISIC), Rev.4 of all economic activities which classify 21 broad sections (United Nations, 2008). The information on economic activities is collected, tabulated on the basis of NSIC. This report reveals the results of economic census 2018 based on the NSIC broad classifications.",Development ,2018
acc_n_e_s_c_n_a_pe,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved - Agriculture_PE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_n_e_s_c_n_m_pe,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved -Manufacturing_PE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_n_e_s_c_n_a_pe,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved - Agriculture_PE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_n_e_s_c_n_w_pe,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved - Wholesales_PE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_n_e_s_c_n_t_pe,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved - Transportations_PE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
